phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,5,8,3,4.005148765650882,3.5975134967501803,0.4076352689007021,0.10177780970252093,668672
prefill,5,9,4,4.03258241929527,3.6158799903239514,0.4167024289713188,0.10333389020828526,668672
prefill,5,10,5,4.06487398573923,3.6701420839496754,0.39473190178955475,0.0971080292216659,668672
prefill,5,11,6,4.0116989858946726,3.6511821906671873,0.36051679522748525,0.08986636248010624,668672
prefill,5,12,7,4.024639294735418,3.6821161255329113,0.3425231692025066,0.08510655095241877,668672
prefill,5,13,8,4.03029556636249,3.745972121030451,0.2843234453320389,0.07054654941564316,668672
prefill,5,14,9,4.0505730224093695,3.7357547539368943,0.3148182684724752,0.07772190915477296,668672
prefill,5,15,10,4.050842714403586,3.7836570525447075,0.2671856618588788,0.06595804396671498,668672
prefill,6,7,1,3.9945496653073462,3.580058685385971,0.4144909799213754,0.10376413229286609,668672
prefill,6,8,2,4.005148765650882,3.5742995807392597,0.4308491849116227,0.10757382812011598,668672
prefill,6,9,3,4.03258241929527,3.594066026617772,0.438516392677498,0.10874331807312017,668672
prefill,6,10,4,4.06487398573923,3.645172450298941,0.4197015354402893,0.10325081095077618,668672
prefill,6,11,5,4.0116989858946726,3.635550602851512,0.37614838304316045,0.09376286315740945,668672
prefill,6,12,6,4.024639294735418,3.6701005495014267,0.3545387452339912,0.08809205478308554,668672
prefill,6,13,7,4.03029556636249,3.7324917692576,0.29780379710489013,0.0738913045461007,668672
prefill,6,14,8,4.0505730224093695,3.7221497506925405,0.32842327171682895,0.08108069399066792,668672
prefill,6,15,9,4.050842714403586,3.76992177538708,0.2809209390165064,0.06934876489221255,668672
prefill,7,8,1,4.005148765650882,3.5307531376759353,0.47439562797494705,0.11844644374847643,668672
prefill,7,9,2,4.03258241929527,3.5395554395142286,0.4930269797810416,0.12226085632422176,668672
prefill,7,10,3,4.06487398573923,3.5913954713477887,0.4734785143914415,0.11648049018310111,668672
prefill,7,11,4,4.0116989858946726,3.5893084933793804,0.42239049251529215,0.10528967751579506,668672
prefill,7,12,5,4.024639294735418,3.629742200679271,0.39489709405614715,0.09811987240016945,668672
prefill,7,13,6,4.03029556636249,3.704508608746194,0.32578695761629595,0.08083450760667965,668672
prefill,7,14,7,4.0505730224093695,3.6873326854300195,0.36324033697935,0.08967628406394873,668672
prefill,7,15,8,4.050842714403586,3.7464466960166587,0.30439601838692765,0.07514387495337362,668672
prefill,8,9,1,4.03258241929527,3.4664417159831733,0.5661407033120969,0.1403916013230636,668672
prefill,8,10,2,4.06487398573923,3.5209984388709428,0.5438755468682874,0.13379887021746856,668672
prefill,8,11,3,4.0116989858946726,3.5372464595377506,0.4744525263569219,0.11826722992555522,668672
prefill,8,12,4,4.024639294735418,3.5852421929545284,0.43939710178088953,0.10917676581741365,668672
prefill,8,13,5,4.03029556636249,3.670966316868692,0.35932924949379785,0.08915704656820182,668672
prefill,8,14,6,4.0505730224093695,3.651610948814396,0.39896207359497327,0.09849521817968902,668672
prefill,8,15,7,4.050842714403586,3.7250990388157468,0.32574367558783957,0.08041380486820493,668672
prefill,9,10,1,4.06487398573923,3.435391431793044,0.6294825539461861,0.15485905741594833,668672
prefill,9,11,2,4.0116989858946726,3.4671570373381555,0.544541948556517,0.1357384864794574,668672
prefill,9,12,3,4.024639294735418,3.519481114658653,0.5051581800767648,0.12551638621069872,668672
prefill,9,13,4,4.03029556636249,3.6098780089143077,0.4204175574481823,0.10431432398086543,668672
prefill,9,14,5,4.0505730224093695,3.585702239149074,0.46487078326029563,0.11476667145326029,668672
prefill,9,15,6,4.050842714403586,3.668431119101288,0.3824115953022984,0.09440297297709364,668672
prefill,10,11,1,4.0116989858946726,3.41982120963304,0.5918777762616325,0.14753793301608703,668672
prefill,10,12,2,4.024639294735418,3.4601801611468597,0.5644591335885583,0.14025086281071708,668672
prefill,10,13,3,4.03029556636249,3.5604909207074193,0.46980464565507063,0.11656828585380624,668672
prefill,10,14,4,4.0505730224093695,3.526791195202563,0.5237818272068067,0.12931055046015436,668672
prefill,10,15,5,4.050842714403586,3.6109575205690674,0.43988519383451896,0.10859103274250038,668672
prefill,11,12,1,4.024639294735418,3.484102292150766,0.5405370025846521,0.13430694355435083,668672
prefill,11,13,2,4.03029556636249,3.5654964596056273,0.46479910675686265,0.11532630773686985,668672
prefill,11,14,3,4.0505730224093695,3.54712687648498,0.5034461459243893,0.12429010491580486,668672
prefill,11,15,4,4.050842714403586,3.6339153857970596,0.4169273286065267,0.10292360330951822,668672
prefill,12,13,1,4.03029556636249,3.535630068781743,0.4946654975807472,0.12273677933432645,668672
prefill,12,14,2,4.0505730224093695,3.516264586686731,0.5343084357226386,0.13190934536092386,668672
prefill,12,15,3,4.050842714403586,3.5909657917109183,0.459876922692668,0.11352623518496116,668672
prefill,13,14,1,4.0505730224093695,3.5421654880633895,0.50840753434598,0.12551496579206664,668672
prefill,13,15,2,4.050842714403586,3.599992674099765,0.45085004030382114,0.11129783901525801,668672
prefill,14,15,1,4.050842714403586,3.5407354678816296,0.5101072465219567,0.12592620412245772,668672
