phase,domain,delta,capacity,policy,n_layer_domain_scopes,mean_residual_cold_expert_fraction,mean_expert_stall_work_reduction,mean_complete_resident_set_hit_coverage,mean_runtime_movement_experts_per_wave,mean_runtime_movement_mib_per_wave,mean_useful_movement_mib_per_wave,mean_wasted_movement_mib_per_wave,mean_useful_movement_fraction,mean_evictions_per_wave,mean_resident_replacement_fraction,mean_expert_oracle_recovery_over_lru,mean_wave_oracle_recovery_over_lru
decode,__domain_balanced__,7,32,transition,36,0.24895282186948853,0.7510471781305115,0.21858465608465608,0.6041666666666666,7.25,4.506613756613756,2.7433862433862433,0.6161235336863458,0.6041666666666666,0.018880208333333332,-0.27472717494264837,-0.20777117002410736
decode,__domain_balanced__,8,8,domain,32,0.6928323412698413,0.3071676587301587,0.000744047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032223414109390024,0.026396780303030304
decode,__domain_balanced__,8,8,linear,32,0.669890873015873,0.330109126984127,0.0008060515873015873,0.8636532738095238,10.363839285714286,6.023809523809524,4.340029761904762,0.5805713671414994,0.8636532738095238,0.10795665922619048,0.10120174299271648,0.04102497009569378
decode,__domain_balanced__,8,8,lru,32,0.6859499007936508,0.3140500992063492,0.000496031746031746,0.9995039682539683,11.994047619047619,6.976934523809524,5.017113095238095,0.5816866735305614,0.9995039682539683,0.12493799603174603,0.0,0.0
decode,__domain_balanced__,8,8,oracle,32,0.5220656622023809,0.47793433779761907,0.007750496031746031,0.8747519841269841,10.49702380952381,9.848958333333334,0.6480654761904762,0.9377996503665652,0.8747519841269841,0.10934399801587301,1.0,0.84375
decode,__domain_balanced__,8,8,static,32,0.7661287822420635,0.2338712177579365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4832671011463256,-0.023661782296650717
decode,__domain_balanced__,8,8,transition,32,0.6972578745039683,0.30274212549603174,0.0011780753968253968,0.6806795634920635,8.168154761904763,4.540178571428571,3.6279761904761907,0.5587758649557149,0.6806795634920635,0.08508494543650794,-0.06082553996745475,0.10459031100478469
decode,__domain_balanced__,8,16,domain,32,0.5024181547619048,0.49758184523809523,0.039868551587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006067002105170398,0.03760370319090523
decode,__domain_balanced__,8,16,linear,32,0.49997674851190477,0.5000232514880952,0.03571428571428571,0.9116443452380952,10.939732142857142,7.220238095238095,3.7194940476190474,0.6578286719080169,0.9116443452380952,0.05697777157738095,0.00496086282957835,0.05848034637929814
decode,__domain_balanced__,8,16,lru,32,0.5000465029761905,0.49995349702380953,0.030443948412698412,0.9695560515873016,11.634672619047619,7.9538690476190474,3.6808035714285716,0.6829216611004618,0.9695560515873016,0.06059725322420635,0.0,0.0
decode,__domain_balanced__,8,16,oracle,32,0.3296285962301587,0.6703714037698413,0.11656746031746032,0.7842881944444444,9.411458333333334,8.883928571428571,0.5275297619047619,0.9430253186380084,0.7842881944444444,0.049018012152777776,1.0,1.0
