capacity,lookahead,bandwidth_scale,eligible_waves,cold_demand_experts,mean_cold_experts_per_wave,available_lead_time_ms,measured_expert_transfer_ms,cold_service_headroom,cold_service_pressure,first_order_oracle_stall_reduction,candidate_transfer_amplification,required_benefit,minimum_complete_cold_set_coverage,maximum_profitable_amplification,inverse_window_exists,empty_window_reason
8,14,4.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,13.048733324189204,0.07663579101170236,1.0,2.0,0.5,0.5,2.0,True,
8,14,4.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,13.048733324189204,0.07663579101170236,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,15,0.25,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,0.8701267227751928,1.1492578883344575,0.8701267227751928,1.0,0.4350633613875964,0.4350633613875964,2.0,True,
8,15,0.25,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,0.8701267227751928,1.1492578883344575,0.8701267227751928,2.0,0.4350633613875964,0.4350633613875964,2.0,True,
8,15,0.25,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,0.8701267227751928,1.1492578883344575,0.8701267227751928,4.0,0.4350633613875964,,2.0,False,speculative_traffic_gate
8,15,0.5,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,1.7402534455503855,0.5746289441672288,1.0,1.0,0.5,0.5,2.0,True,
8,15,0.5,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,1.7402534455503855,0.5746289441672288,1.0,2.0,0.5,0.5,2.0,True,
8,15,0.5,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,1.7402534455503855,0.5746289441672288,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,15,1.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,3.480506891100771,0.2873144720836144,1.0,1.0,0.5,0.5,2.0,True,
8,15,1.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,3.480506891100771,0.2873144720836144,1.0,2.0,0.5,0.5,2.0,True,
8,15,1.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,3.480506891100771,0.2873144720836144,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,15,2.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,6.961013782201542,0.1436572360418072,1.0,1.0,0.5,0.5,2.0,True,
8,15,2.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,6.961013782201542,0.1436572360418072,1.0,2.0,0.5,0.5,2.0,True,
8,15,2.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,6.961013782201542,0.1436572360418072,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,15,4.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,13.922027564403084,0.0718286180209036,1.0,1.0,0.5,0.5,2.0,True,
8,15,4.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,13.922027564403084,0.0718286180209036,1.0,2.0,0.5,0.5,2.0,True,
8,15,4.0,8011,42115,5.257146423667457,9.589664787054062,0.5240960121154785,13.922027564403084,0.0718286180209036,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
