scenario_id,scope_type,scope,waves,p99_missing_routed_mass,full_fallback_wave_fraction,mass_contract_pass
ax4-local-00042,layer_band,early,40055,0.43343982960596383,0.0,False
ax4-local-00042,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00042,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00043,domain,code,32256,0.08735632183908049,0.0,True
ax4-local-00043,domain,conversation,31424,0.08563273073263566,0.0,True
ax4-local-00043,domain,general,32256,0.08989547038327528,0.0,True
ax4-local-00043,domain,math,32240,0.08415466262319932,0.0,True
ax4-local-00043,layer_band,early,40055,0.13415073927154708,0.0,True
ax4-local-00043,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00043,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00044,domain,code,32256,0.041012420904616875,0.0,True
ax4-local-00044,domain,conversation,31424,2.220446049250313e-16,0.0,True
ax4-local-00044,domain,general,32256,0.026701570680628284,0.0,True
ax4-local-00044,domain,math,32240,2.220446049250313e-16,0.0,True
ax4-local-00044,layer_band,early,40055,2.220446049250313e-16,0.0,True
ax4-local-00044,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00044,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00045,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00045,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00045,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00045,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00045,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00045,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00045,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00046,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00046,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00046,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00046,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00046,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00046,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00046,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00047,domain,code,32256,0.9190184049079755,0.004185267857142857,False
ax4-local-00047,domain,conversation,31424,0.9447133757961783,0.00560081466395112,False
ax4-local-00047,domain,general,32256,0.9576102418207681,0.008587549603174604,False
