fold,training_requests,training_tokens,feature_mode,baseline,domain,delta,evaluation_tokens,selection_coverage,complete_route_coverage
2,8,128,binary,pairwise_head,general,1,96,0.9408967391304348,0.7916666666666666
2,8,128,binary,pairwise_head,math,1,96,0.7983469202898551,0.5018115942028986
2,8,128,binary,pairwise_head,ALL,1,384,0.842391304347826,0.5844655797101449
2,8,128,binary,pairwise_head,code,2,96,0.8409090909090909,0.5752840909090909
2,8,128,binary,pairwise_head,conversation,2,96,0.7811316287878788,0.4834280303030303
2,8,128,binary,pairwise_head,general,2,96,0.9380918560606061,0.7911931818181818
2,8,128,binary,pairwise_head,math,2,96,0.7897727272727273,0.5047348484848485
2,8,128,binary,pairwise_head,ALL,2,384,0.8374763257575758,0.5886600378787878
2,8,128,binary,pairwise_head,code,3,96,0.8267609126984127,0.5520833333333334
2,8,128,binary,pairwise_head,conversation,3,96,0.7631448412698413,0.45535714285714285
2,8,128,binary,pairwise_head,general,3,96,0.9252232142857143,0.7678571428571429
2,8,128,binary,pairwise_head,math,3,96,0.7671130952380952,0.46378968253968256
2,8,128,binary,pairwise_head,ALL,3,384,0.8205605158730159,0.5597718253968254
2,8,128,weighted_binary,pairwise_head,code,1,96,0.8541666666666666,0.5914855072463768
2,8,128,weighted_binary,pairwise_head,conversation,1,96,0.7971014492753623,0.49230072463768115
2,8,128,weighted_binary,pairwise_head,general,1,96,0.9442934782608695,0.8052536231884058
2,8,128,weighted_binary,pairwise_head,math,1,96,0.8084239130434783,0.5262681159420289
2,8,128,weighted_binary,pairwise_head,ALL,1,384,0.8509963768115942,0.6038269927536232
2,8,128,weighted_binary,pairwise_head,code,2,96,0.8450520833333334,0.5847537878787878
2,8,128,weighted_binary,pairwise_head,conversation,2,96,0.7863399621212122,0.48579545454545453
2,8,128,weighted_binary,pairwise_head,general,2,96,0.9479166666666666,0.8148674242424242
2,8,128,weighted_binary,pairwise_head,math,2,96,0.7994791666666666,0.5260416666666666
2,8,128,weighted_binary,pairwise_head,ALL,2,384,0.8446969696969697,0.6028645833333334
2,8,128,weighted_binary,pairwise_head,code,3,96,0.8344494047619048,0.5629960317460317
2,8,128,weighted_binary,pairwise_head,conversation,3,96,0.7681051587301587,0.46478174603174605
2,8,128,weighted_binary,pairwise_head,general,3,96,0.9330357142857143,0.7862103174603174
2,8,128,weighted_binary,pairwise_head,math,3,96,0.7728174603174603,0.47371031746031744
2,8,128,weighted_binary,pairwise_head,ALL,3,384,0.8271019345238095,0.5719246031746031
2,16,256,table,transition,code,1,96,0.8208786231884058,0.5348731884057971
2,16,256,table,transition,conversation,1,96,0.7775135869565217,0.46557971014492755
2,16,256,table,transition,general,1,96,0.9262907608695652,0.7626811594202898
2,16,256,table,transition,math,1,96,0.7924592391304348,0.5009057971014492
2,16,256,table,transition,ALL,1,384,0.8292855525362319,0.566009963768116
2,16,256,table,transition,code,2,96,0.8140388257575758,0.5265151515151515
2,16,256,table,transition,conversation,2,96,0.7718986742424242,0.46070075757575757
2,16,256,table,transition,general,2,96,0.92578125,0.7457386363636364
2,16,256,table,transition,math,2,96,0.7803030303030303,0.4900568181818182
2,16,256,table,transition,ALL,2,384,0.8230054450757576,0.5557528409090909
2,16,256,table,transition,code,3,96,0.802703373015873,0.49255952380952384
2,16,256,table,transition,conversation,3,96,0.7563244047619048,0.4365079365079365
2,16,256,table,transition,general,3,96,0.910218253968254,0.7192460317460317
2,16,256,table,transition,math,3,96,0.7632688492063492,0.4623015873015873
2,16,256,table,transition,ALL,3,384,0.8081287202380952,0.5276537698412699
2,16,256,weighted,pairwise_head,code,1,96,0.8038949275362319,0.4796195652173913
2,16,256,weighted,pairwise_head,conversation,1,96,0.7693614130434783,0.4375
2,16,256,weighted,pairwise_head,general,1,96,0.9102128623188406,0.7092391304347826
2,16,256,weighted,pairwise_head,math,1,96,0.7815896739130435,0.46693840579710144
2,16,256,weighted,pairwise_head,ALL,1,384,0.8162647192028986,0.5233242753623188
2,16,256,weighted,pairwise_head,code,2,96,0.8003077651515151,0.4815340909090909
2,16,256,weighted,pairwise_head,conversation,2,96,0.7619554924242424,0.4408143939393939
2,16,256,weighted,pairwise_head,general,2,96,0.9053030303030303,0.6761363636363636
2,16,256,weighted,pairwise_head,math,2,96,0.7703598484848485,0.4621212121212121
2,16,256,weighted,pairwise_head,ALL,2,384,0.8094815340909091,0.5151515151515151
2,16,256,weighted,pairwise_head,code,3,96,0.7859623015873016,0.45535714285714285
2,16,256,weighted,pairwise_head,conversation,3,96,0.7455357142857143,0.4131944444444444
2,16,256,weighted,pairwise_head,general,3,96,0.8931051587301587,0.6592261904761905
2,16,256,weighted,pairwise_head,math,3,96,0.7507440476190477,0.4320436507936508
2,16,256,weighted,pairwise_head,ALL,3,384,0.7938368055555556,0.48995535714285715
2,16,256,binary,pairwise_head,code,1,96,0.8533740942028986,0.59375
2,16,256,binary,pairwise_head,conversation,1,96,0.7989130434782609,0.49184782608695654
2,16,256,binary,pairwise_head,general,1,96,0.9454257246376812,0.8088768115942029
2,16,256,binary,pairwise_head,math,1,96,0.8143115942028986,0.5394021739130435
