phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,16,1,1.0,0.6393109858036041,0.5240960121154785,120165,100253,961320,533493,427827,960,426867,113846,313981,12096204963840,6712895471616,5383309492224,12079595520,5371229896704,1432514199552,3950795292672,0.5549588066408688,0.2661028873820493,0.7338971126179508,224222.42457532883,153005.5432228744,0.3176171227625304,0.8342945117130612,465071,1024,464047,1025408
decode,16,2,1.0,0.6393109858036041,0.5240960121154785,112154,89076,897232,505839,391393,896,390497,116711,274682,11289791299584,6364927623168,4924863676416,11274289152,4913589387264,1468564242432,3456299433984,0.563777261622412,0.2981938869627203,0.7018061130372797,205127.51046991348,131617.5841138363,0.3583621045645121,0.7942293631970326,465071,1024,464047,1025408
decode,16,3,1.0,0.6393109858036041,0.5240960121154785,104143,77547,833144,472897,360247,832,359415,118259,241988,10483377635328,5950421336064,4532956299264,10468982784,4522487316480,1488042590208,3044913709056,0.5676053599377778,0.32827199116161965,0.6717280088383804,188804.0160765648,115294.59716564417,0.3893424538231788,0.7446203777498248,465071,1024,464047,1025408
decode,16,6,1.0,0.6393109858036041,0.5240960121154785,80110,44876,640880,357887,282993,640,282353,123067,159926,8064136642560,4503260626944,3560876015616,8053063680,3552822951936,1548541231104,2012334784512,0.558430595431282,0.43487648104370075,0.5651235189562993,148315.5027565956,76876.08898448944,0.48167192535056325,0.5601797528398452,465071,1024,464047,1025408
decode,16,9,1.0,0.6393109858036041,0.5240960121154785,56077,24086,448616,239639,208977,448,208529,122605,86372,5644895649792,3015356448768,2629539201024,5637144576,2623902056448,1542727925760,1086811275264,0.534173992902616,0.5866913583791518,0.41330864162084824,109524.01232385635,41797.93245381117,0.6183674103335711,0.429516557590456,465071,1024,464047,1025408
decode,16,12,1.0,0.6393109858036041,0.5240960121154785,32044,3704,256352,139197,117155,256,116899,104216,12939,3225654657024,1751503601664,1474151055360,3221225472,1470929829888,1311340756992,162810298368,0.542991667706903,0.8895565703555119,0.11044342964448807,61400.468299388885,6375.387247920036,0.8961671234031371,0.11559106228935213,465071,1024,464047,1025408
decode,16,15,1.0,0.6393109858036041,0.5240960121154785,8011,0,64088,34090,29998,64,29934,29998,0,806413664256,428951470080,377462194176,805306368,376656887808,377462194176,0,0.5319248533266758,1.0,0.0,15721.832171440125,0.0,1.0,0.0,465071,1024,464047,1025408
decode,16,1,2.0,0.6393109858036041,0.2634255110814765,120165,80833,961320,533493,427827,960,426867,214099,213728,12096204963840,6712895471616,5383309492224,12079595520,5371229896704,2693988876288,2689320615936,0.5549588066408688,0.500433586473037,0.499566413526963,112700.54612942884,47210.9313904303,0.5810940318229534,0.6726833936670411,465071,1024,464047,1025408
decode,16,2,2.0,0.6393109858036041,0.2634255110814765,112154,59714,897232,505839,391393,896,390497,227742,163651,11289791299584,6364927623168,4924863676416,11274289152,4913589387264,2865657544704,2059206131712,0.563777261622412,0.5818755062047609,0.4181244937952391,103102.90105868939,35625.40848895642,0.6544674483147925,0.5324286249264404,465071,1024,464047,1025408
decode,16,3,2.0,0.6393109858036041,0.2634255110814765,104143,43555,833144,472897,360247,832,359415,231117,129130,10483377635328,5950421336064,4532956299264,10468982784,4522487316480,2908124872704,1624831426560,0.5676053599377778,0.6415514910603003,0.3584485089396997,94898.25009054811,28674.642092928174,0.6978380310957475,0.4182230202702054,465071,1024,464047,1025408
decode,16,6,2.0,0.6393109858036041,0.2634255110814765,80110,18364,640880,357887,282993,640,282353,222857,60136,8064136642560,4503260626944,3560876015616,8053063680,3552822951936,2804190019584,756685996032,0.558430595431282,0.7875000441707039,0.21249995582929612,74547.57565747073,13598.00033379986,0.8175929905986534,0.2292348021470478,465071,1024,464047,1025408
decode,16,9,2.0,0.6393109858036041,0.2634255110814765,56077,4031,448616,239639,208977,448,208529,195456,13521,5644895649792,3015356448768,2629539201024,5637144576,2623902056448,2459405647872,170133553152,0.534173992902616,0.9352990999009461,0.06470090009905397,55049.8730292648,2984.016473295662,0.9457943077959627,0.07188330331508462,465071,1024,464047,1025408
decode,16,12,2.0,0.6393109858036041,0.2634255110814765,32044,0,256352,139197,117155,256,116899,117155,0,3225654657024,1751503601664,1474151055360,3221225472,1470929829888,1474151055360,0,0.542991667706903,1.0,0.0,30861.615750747256,0.0,1.0,0.0,465071,1024,464047,1025408
