size_mib,bytes,repetition,elapsed_ms,wall_completion_ms
24,25165824,27,1.0453439950942993,1.0520126670598984
24,25165824,28,1.0478399991989136,1.0544843971729279
24,25165824,29,1.0452799797058105,1.0520163923501968
24,25165824,30,1.0456960201263428,1.0543745011091232
24,25165824,31,1.045632004737854,1.052413135766983
24,25165824,32,1.0454720258712769,1.05205737054348
24,25165824,33,1.047808051109314,1.0547246783971786
24,25165824,34,1.0459200143814087,1.0526906698942184
24,25165824,35,1.0453120470046997,1.051928848028183
24,25165824,36,1.0456000566482544,1.0522082448005676
24,25165824,37,1.045248031616211,1.0520070791244507
24,25165824,38,1.0455679893493652,1.0521560907363892
24,25165824,39,1.0454399585723877,1.052211970090866
24,25165824,40,1.0454720258712769,1.0519567877054214
24,25165824,41,1.045248031616211,1.0519865900278091
24,25165824,42,1.0456000566482544,1.0521281510591507
24,25165824,43,1.0451840162277222,1.0517016053199768
24,25165824,44,1.045408010482788,1.052025705575943
24,25165824,45,1.045151948928833,1.051872968673706
24,25165824,46,1.0452799797058105,1.052049919962883
24,25165824,47,1.0457279682159424,1.052582636475563
24,25165824,48,1.045408010482788,1.0522305965423584
24,25165824,49,1.0455679893493652,1.05254165828228
