phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,8,10,2,4.075507141945451,3.4708918236053328,0.6046153183401182,0.14835339438308626,70400
prefill,8,11,3,4.025615593155921,3.5057508423781023,0.5198647507778187,0.1291391934345787,70400
prefill,8,12,4,4.03588022414453,3.5483582151000523,0.48752200904447784,0.12079694687862447,70400
prefill,8,13,5,4.038024206365372,3.6332259070458575,0.4047982993195145,0.10024662523850339,70400
prefill,8,14,6,4.05993443384796,3.6232585410162175,0.4366758928317429,0.10755737560467606,70400
prefill,8,15,7,4.037836313137348,3.682232568111956,0.3556037450253915,0.08806789514186421,70400
prefill,9,10,1,4.075507141945451,3.382113477246519,0.6933936646989318,0.17013678066282054,70400
prefill,9,11,2,4.025615593155921,3.4351732529381835,0.5904423402177374,0.14667131685935625,70400
prefill,9,12,3,4.03588022414453,3.4802428375894157,0.5556373865551145,0.13767439955998467,70400
prefill,9,13,4,4.038024206365372,3.571806025991184,0.46621818037418805,0.1154570048488717,70400
prefill,9,14,5,4.05993443384796,3.5587279040004853,0.501206529847475,0.12345187786011537,70400
prefill,9,15,6,4.037836313137348,3.6246574990382565,0.4131788140990911,0.10232678644124045,70400
prefill,10,11,1,4.025615593155921,3.38625127059658,0.6393643225593411,0.1588239879749932,70400
prefill,10,12,2,4.03588022414453,3.4142526318899633,0.6216275922545669,0.15402528264731416,70400
prefill,10,13,3,4.038024206365372,3.508285256693484,0.5297389496718878,0.1311876607467656,70400
prefill,10,14,4,4.05993443384796,3.4850878789271764,0.574846554920784,0.1415901079899832,70400
prefill,10,15,5,4.037836313137348,3.554935432411035,0.48290088072631265,0.11959397144336066,70400
prefill,11,12,1,4.03588022414453,3.452518709808671,0.5833615143358593,0.1445438124862866,70400
prefill,11,13,2,4.038024206365372,3.5223788258771163,0.5156453804882557,0.1276974466065394,70400
prefill,11,14,3,4.05993443384796,3.507450149909211,0.5524842839387496,0.13608207052129934,70400
prefill,11,15,4,4.037836313137348,3.5804120486695,0.4574242644678477,0.11328449917090246,70400
prefill,12,13,1,4.038024206365372,3.487515194067879,0.5505090122974932,0.1363312808847688,70400
prefill,12,14,2,4.05993443384796,3.471168040807053,0.5887663930409075,0.14501869491593766,70400
prefill,12,15,3,4.037836313137348,3.537558485350254,0.5002778277870936,0.1238975007875899,70400
prefill,13,14,1,4.05993443384796,3.4863552291326942,0.5735792047152661,0.14127794772577995,70400
prefill,13,15,2,4.037836313137348,3.5401282508170855,0.4977080623202621,0.12326107938079076,70400
prefill,14,15,1,4.037836313137348,3.4832495639692262,0.5545867491681213,0.1373475064761143,70400
