phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
prefill,code,0,10,10,32,transition,127,8,0.7903543307086615,0.23622047244094488,4.0,5.0610211706102115,0.18675595238095238,0.6915313623195224
prefill,code,0,11,11,8,domain_oracle,127,8,0.4547244094488189,0.0,1.0,2.1991341991341993,0.0,1.0
prefill,code,0,11,11,8,previous_window,127,8,0.4547244094488189,0.0,1.0,2.1991341991341993,0.0,1.0
prefill,code,0,11,11,8,static,127,8,0.28937007874015747,0.0,1.0,3.45578231292517,0.0,1.0
prefill,code,0,11,11,8,transition,127,8,0.44291338582677164,0.0,1.0,2.2577777777777777,0.2648809523809524,0.6060264250740438
prefill,code,0,11,11,16,domain_oracle,127,8,0.6338582677165354,0.03937007874015748,2.0,3.1552795031055902,0.0,1.0
prefill,code,0,11,11,16,previous_window,127,8,0.6338582677165354,0.03937007874015748,2.0,3.1552795031055902,0.0,1.0
prefill,code,0,11,11,16,static,127,8,0.4744094488188976,0.0,2.0,4.215767634854772,0.0,1.0
prefill,code,0,11,11,16,transition,127,8,0.6259842519685039,0.06299212598425197,2.0,3.1949685534591197,0.2564484126984127,0.6067651074175051
prefill,code,0,11,11,32,domain_oracle,127,8,0.8494094488188977,0.4251968503937008,4.0,4.709154113557358,0.0,1.0
prefill,code,0,11,11,32,previous_window,127,8,0.8494094488188977,0.4251968503937008,4.0,4.709154113557358,0.0,1.0
prefill,code,0,11,11,32,static,127,8,0.687007874015748,0.08661417322834646,4.0,5.822349570200573,0.0,1.0
prefill,code,0,11,11,32,transition,127,8,0.8336614173228346,0.31496062992125984,4.0,4.798110979929162,0.15376984126984128,0.7398993677869935
prefill,code,0,12,12,8,domain_oracle,127,8,0.4625984251968504,0.0,1.0,2.1617021276595745,0.0,1.0
prefill,code,0,12,12,8,previous_window,127,8,0.4625984251968504,0.0,1.0,2.1617021276595745,0.0,1.0
prefill,code,0,12,12,8,static,127,8,0.2559055118110236,0.0,1.0,3.9076923076923076,0.0,1.0
prefill,code,0,12,12,8,transition,127,8,0.3720472440944882,0.0,1.0,2.687830687830688,0.30952380952380953,0.5498526165192832
prefill,code,0,12,12,16,domain_oracle,127,8,0.6840551181102362,0.14173228346456693,2.0,2.9237410071942445,0.0,1.0
prefill,code,0,12,12,16,previous_window,127,8,0.6840551181102362,0.14173228346456693,2.0,2.9237410071942445,0.0,1.0
prefill,code,0,12,12,16,static,127,8,0.3641732283464567,0.0,2.0,5.491891891891892,0.0,1.0
prefill,code,0,12,12,16,transition,127,8,0.6023622047244095,0.03937007874015748,2.0,3.320261437908497,0.2628968253968254,0.5973187400533256
prefill,code,0,12,12,32,domain_oracle,127,8,0.8553149606299213,0.5039370078740157,4.0,4.676639815880322,0.0,1.0
prefill,code,0,12,12,32,previous_window,127,8,0.8553149606299213,0.5039370078740157,4.0,4.676639815880322,0.0,1.0
prefill,code,0,12,12,32,static,127,8,0.672244094488189,0.07086614173228346,4.0,5.950219619326501,0.0,1.0
prefill,code,0,12,12,32,transition,127,8,0.8159448818897638,0.36220472440944884,4.0,4.902291917973462,0.1515376984126984,0.7429810286003843
prefill,code,0,13,13,8,domain_oracle,127,8,0.5551181102362205,0.0,1.0,1.801418439716312,0.0,1.0
prefill,code,0,13,13,8,previous_window,127,8,0.5551181102362205,0.0,1.0,1.801418439716312,0.0,1.0
prefill,code,0,13,13,8,static,127,8,0.27165354330708663,0.0,1.0,3.681159420289855,0.0,1.0
prefill,code,0,13,13,8,transition,127,8,0.43700787401574803,0.0,1.0,2.2882882882882885,0.35912698412698413,0.49570323856038173
prefill,code,0,13,13,16,domain_oracle,127,8,0.7086614173228346,0.07086614173228346,2.0,2.8222222222222224,0.0,1.0
prefill,code,0,13,13,16,previous_window,127,8,0.7086614173228346,0.07086614173228346,2.0,2.8222222222222224,0.0,1.0
prefill,code,0,13,13,16,static,127,8,0.4645669291338583,0.0,2.0,4.305084745762712,0.0,1.0
prefill,code,0,13,13,16,transition,127,8,0.6496062992125984,0.06299212598425197,2.0,3.0787878787878786,0.24107142857142858,0.6238225572456291
prefill,code,0,13,13,32,domain_oracle,127,8,0.844488188976378,0.36220472440944884,4.0,4.736596736596737,0.0,1.0
prefill,code,0,13,13,32,previous_window,127,8,0.844488188976378,0.36220472440944884,4.0,4.736596736596737,0.0,1.0
prefill,code,0,13,13,32,static,127,8,0.7322834645669292,0.047244094488188976,4.0,5.462365591397849,0.0,1.0
prefill,code,0,13,13,32,transition,127,8,0.8238188976377953,0.3464566929133858,4.0,4.855436081242533,0.12698412698412698,0.7786908645072691
prefill,code,0,14,14,8,domain_oracle,127,8,0.45177165354330706,0.0,1.0,2.213507625272331,0.0,1.0
prefill,code,0,14,14,8,previous_window,127,8,0.45177165354330706,0.0,1.0,2.213507625272331,0.0,1.0
prefill,code,0,14,14,8,static,127,8,0.3061023622047244,0.0,1.0,3.266881028938907,0.0,1.0
prefill,code,0,14,14,8,transition,127,8,0.38976377952755903,0.0,1.0,2.5656565656565657,0.37797619047619047,0.4769491531396296
prefill,code,0,14,14,16,domain_oracle,127,8,0.6259842519685039,0.047244094488188976,2.0,3.1949685534591197,0.0,1.0
prefill,code,0,14,14,16,previous_window,127,8,0.6259842519685039,0.047244094488188976,2.0,3.1949685534591197,0.0,1.0
prefill,code,0,14,14,16,static,127,8,0.34448818897637795,0.0,2.0,5.805714285714286,0.0,1.0
