baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
learned,12,3.0,8,16,64,256,5000,0.95,0.9410858154296875,0.9364776611328125,0.9453281402587891,0.9490633904933929,0.9446243144571781,0.9531882688403129,0.81878662109375,0.8084716796875,0.82904052734375
learned,12,3.0,9,15,64,240,5000,0.95,0.93779296875,0.9329748535156249,0.9421712239583333,0.9463930763304234,0.9418232674477622,0.9505400131689384,0.8076171875,0.7964192708333334,0.8181640625000001
learned,12,3.0,10,14,64,224,5000,0.95,0.9337681361607143,0.9282924107142858,0.9388427734375,0.9426008649170399,0.9375942864920944,0.9475128348451107,0.8008510044642858,0.7886439732142857,0.8127110072544643
learned,12,3.0,11,13,64,208,5000,0.95,0.9351337139423077,0.9300062913161057,0.9397536057692307,0.9436558987945318,0.9388401213334874,0.9481599424500018,0.8028094951923077,0.7918419471153847,0.8135516826923077
learned,12,3.0,12,12,64,192,5000,0.95,0.9338175455729167,0.9273269653320313,0.9395751953125,0.9434041203930974,0.9374963982729241,0.9487583622336387,0.7978515625000001,0.7838521321614583,0.811444091796875
learned,12,3.0,13,11,64,176,5000,0.95,0.9342151988636364,0.9280894886363636,0.9394758744673295,0.9432824701070786,0.937573126098141,0.9485148472478613,0.8014026988636362,0.7880859375,0.8135675603693182
learned,12,3.0,14,10,64,160,5000,0.95,0.9361328125000001,0.9297607421875,0.9418212890625,0.9443668872117996,0.9380478972801939,0.9500732975546271,0.81201171875,0.7978491210937501,0.8248046875
learned,12,3.0,15,9,64,144,5000,0.95,0.9375271267361112,0.9308803982204861,0.9433329264322917,0.9466725438833237,0.9403496511513367,0.9523397453827783,0.8122829861111112,0.7970893012152778,0.8264973958333333
learned,12,3.0,16,8,64,128,5000,0.95,0.933258056640625,0.92559814453125,0.9401557922363282,0.94264817237854,0.9349484637379646,0.9494822680950165,0.8037109375,0.7882080078125,0.818359375
learned,12,3.0,17,7,64,112,5000,0.95,0.9312569754464286,0.9230250767299106,0.9384425571986608,0.941552503965795,0.9337145348312333,0.9482678973581642,0.796875,0.7816685267857142,0.8119419642857142
learned,12,3.0,18,6,64,96,5000,0.95,0.9303792317708333,0.9206542968750001,0.9385579427083333,0.94007364846766,0.9313627740833909,0.947666495735757,0.7965494791666666,0.7794596354166667,0.8123372395833333
learned,12,3.0,19,5,64,80,5000,0.95,0.928955078125,0.920408935546875,0.936524658203125,0.9391147568821907,0.9303347802953794,0.9462885967688635,0.7939453125,0.7771484375,0.809375
learned,12,3.0,20,4,64,64,5000,0.95,0.92626953125,0.9158935546875,0.9346923828125,0.9353235960006714,0.9252128422260284,0.9435999125242234,0.7919921875,0.7744140625,0.80810546875
learned,12,3.0,21,3,64,48,5000,0.95,0.9236653645833333,0.9123514811197917,0.93310546875,0.9326554927974939,0.9220078367507085,0.9418144579511136,0.7887369791666667,0.7679036458333334,0.8079427083333333
learned,12,3.0,22,2,64,32,5000,0.95,0.9322509765625,0.9200408935546875,0.9425048828125,0.9418630599975586,0.929615831375122,0.9518745303153991,0.81103515625,0.7890625,0.8315551757812498
learned,12,3.0,23,1,64,16,5000,0.95,0.9150390625,0.9013671875,0.927490234375,0.9260115623474121,0.913055694103241,0.9377699971199036,0.7763671875,0.7509521484375,0.80078125
learned,16,4.0,1,23,64,368,5000,0.95,0.978112262228261,0.9761909816576088,0.9799380095108695,0.9822926940396428,0.9806233689421788,0.9839128779247404,0.9206436820652174,0.914147418478261,0.9271399456521738
learned,16,4.0,2,22,64,352,5000,0.95,0.9762073863636364,0.9742428866299716,0.9781716086647727,0.980303356423974,0.9785113591933623,0.982049169181846,0.9149502840909091,0.9082475142045454,0.92138671875
learned,16,4.0,3,21,64,336,5000,0.95,0.9726097470238095,0.9703540620349702,0.9747026715959821,0.9776108181104064,0.9756104803644121,0.9795082677854225,0.9026227678571429,0.8956473214285714,0.9093668619791667
