request_id,sample_id,domain,phase,baseline,delta,layer_pairs,candidate_count,candidate_amplification,forecasts,selection_coverage,routed_mass_coverage,complete_route_coverage
7,wikitext2-00043,general,decode,learned,14,10,4,1.0,160,0.85,0.8733184933662415,0.575
7,wikitext2-00043,general,decode,learned,15,9,4,1.0,144,0.8663194444444444,0.8941718339920044,0.5763888888888888
7,wikitext2-00043,general,decode,learned,16,8,4,1.0,128,0.849609375,0.8731880187988281,0.5390625
7,wikitext2-00043,general,decode,learned,17,7,4,1.0,112,0.8839285714285714,0.9115382432937622,0.5803571428571429
7,wikitext2-00043,general,decode,learned,18,6,4,1.0,96,0.859375,0.8857167363166809,0.5729166666666666
7,wikitext2-00043,general,decode,learned,19,5,4,1.0,80,0.85625,0.8893798589706421,0.5
7,wikitext2-00043,general,decode,learned,20,4,4,1.0,64,0.91015625,0.931182861328125,0.65625
7,wikitext2-00043,general,decode,learned,21,3,4,1.0,48,0.8854166666666666,0.9054667353630066,0.625
7,wikitext2-00043,general,decode,learned,22,2,4,1.0,32,0.9140625,0.9421234130859375,0.65625
7,wikitext2-00043,general,decode,learned,23,1,4,1.0,16,0.953125,0.972137451171875,0.8125
8,mt_bench-30350920,conversation,decode,learned,1,23,4,1.0,368,0.7160326086956522,0.757013738155365,0.296195652173913
8,mt_bench-30350920,conversation,decode,learned,2,22,4,1.0,352,0.7166193181818182,0.759819746017456,0.2897727272727273
8,mt_bench-30350920,conversation,decode,learned,3,21,4,1.0,336,0.6971726190476191,0.7363237738609314,0.24702380952380953
8,mt_bench-30350920,conversation,decode,learned,4,20,4,1.0,320,0.69375,0.7323578000068665,0.246875
8,mt_bench-30350920,conversation,decode,learned,5,19,4,1.0,304,0.6611842105263158,0.6929144859313965,0.23355263157894737
8,mt_bench-30350920,conversation,decode,learned,6,18,4,1.0,288,0.6805555555555556,0.7154659628868103,0.2638888888888889
8,mt_bench-30350920,conversation,decode,learned,7,17,4,1.0,272,0.6645220588235294,0.6919519901275635,0.25
8,mt_bench-30350920,conversation,decode,learned,8,16,4,1.0,256,0.6611328125,0.6892681121826172,0.24609375
8,mt_bench-30350920,conversation,decode,learned,9,15,4,1.0,240,0.6479166666666667,0.6771565675735474,0.25
8,mt_bench-30350920,conversation,decode,learned,10,14,4,1.0,224,0.6417410714285714,0.6727469563484192,0.21875
8,mt_bench-30350920,conversation,decode,learned,11,13,4,1.0,208,0.6418269230769231,0.667891263961792,0.21153846153846154
8,mt_bench-30350920,conversation,decode,learned,12,12,4,1.0,192,0.67578125,0.7060699462890625,0.2552083333333333
8,mt_bench-30350920,conversation,decode,learned,13,11,4,1.0,176,0.6946022727272727,0.7170909643173218,0.2897727272727273
8,mt_bench-30350920,conversation,decode,learned,14,10,4,1.0,160,0.7,0.7300140261650085,0.3
8,mt_bench-30350920,conversation,decode,learned,15,9,4,1.0,144,0.6927083333333334,0.7214796543121338,0.2708333333333333
8,mt_bench-30350920,conversation,decode,learned,16,8,4,1.0,128,0.666015625,0.6934928894042969,0.2734375
8,mt_bench-30350920,conversation,decode,learned,17,7,4,1.0,112,0.671875,0.7049996256828308,0.19642857142857142
8,mt_bench-30350920,conversation,decode,learned,18,6,4,1.0,96,0.6796875,0.7053375244140625,0.22916666666666666
8,mt_bench-30350920,conversation,decode,learned,19,5,4,1.0,80,0.671875,0.708587646484375,0.2
8,mt_bench-30350920,conversation,decode,learned,20,4,4,1.0,64,0.6875,0.7104644775390625,0.265625
8,mt_bench-30350920,conversation,decode,learned,21,3,4,1.0,48,0.609375,0.620086669921875,0.14583333333333334
8,mt_bench-30350920,conversation,decode,learned,22,2,4,1.0,32,0.640625,0.6510009765625,0.1875
8,mt_bench-30350920,conversation,decode,learned,23,1,4,1.0,16,0.515625,0.50018310546875,0.0625
9,gsm8k-00047,math,decode,learned,1,23,4,1.0,368,0.7717391304347826,0.8197817802429199,0.33967391304347827
9,gsm8k-00047,math,decode,learned,2,22,4,1.0,352,0.7535511363636364,0.8007410168647766,0.32386363636363635
9,gsm8k-00047,math,decode,learned,3,21,4,1.0,336,0.7425595238095238,0.7851170301437378,0.35119047619047616
9,gsm8k-00047,math,decode,learned,4,20,4,1.0,320,0.7390625,0.7824676632881165,0.29375
9,gsm8k-00047,math,decode,learned,5,19,4,1.0,304,0.734375,0.7744237184524536,0.3256578947368421
9,gsm8k-00047,math,decode,learned,6,18,4,1.0,288,0.7248263888888888,0.7641330361366272,0.3090277777777778
9,gsm8k-00047,math,decode,learned,7,17,4,1.0,272,0.7224264705882353,0.7609145045280457,0.29411764705882354
9,gsm8k-00047,math,decode,learned,8,16,4,1.0,256,0.6962890625,0.7303714752197266,0.2890625
9,gsm8k-00047,math,decode,learned,9,15,4,1.0,240,0.6875,0.7239664793014526,0.2708333333333333
9,gsm8k-00047,math,decode,learned,10,14,4,1.0,224,0.6930803571428571,0.7275019884109497,0.26339285714285715
9,gsm8k-00047,math,decode,learned,11,13,4,1.0,208,0.6850961538461539,0.7175832986831665,0.2692307692307692
9,gsm8k-00047,math,decode,learned,12,12,4,1.0,192,0.6796875,0.714935302734375,0.2552083333333333
9,gsm8k-00047,math,decode,learned,13,11,4,1.0,176,0.7045454545454546,0.7347883582115173,0.3125
9,gsm8k-00047,math,decode,learned,14,10,4,1.0,160,0.728125,0.7551056146621704,0.34375
9,gsm8k-00047,math,decode,learned,15,9,4,1.0,144,0.7239583333333334,0.7555134892463684,0.3263888888888889
