phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,6,4,36,3818,0.0342901278919385
prefill,__all__,6,5,61,3560,0.03197298462422762
prefill,__all__,6,6,5,3434,0.03084135651674091
prefill,__all__,6,7,42,3263,0.029305575513723234
prefill,__all__,6,8,62,2933,0.02634178761316281
prefill,__all__,6,9,2,2594,0.023297169133496193
prefill,__all__,6,10,24,2533,0.022749317430665324
prefill,__all__,6,11,16,2477,0.022246371605115677
prefill,__all__,6,12,40,2472,0.02220146572783446
prefill,__all__,6,13,20,2395,0.021509915217703693
prefill,__all__,6,14,55,2344,0.021051875269435263
prefill,__all__,6,15,1,2273,0.02041421181204196
prefill,__all__,6,16,26,2168,0.01947118838913637
prefill,__all__,6,17,0,2071,0.018600014369880728
prefill,__all__,6,18,59,2066,0.01855510849259951
prefill,__all__,6,19,9,2038,0.018303635579824687
prefill,__all__,6,20,3,1987,0.017845595631556257
prefill,__all__,6,21,45,1946,0.017477367437850267
prefill,__all__,6,22,21,1877,0.01685766633136945
prefill,__all__,6,23,15,1858,0.01668702399770082
prefill,__all__,6,24,49,1845,0.01657026871676965
prefill,__all__,6,25,48,1836,0.01648943813766346
prefill,__all__,6,26,35,1751,0.015726038223882743
prefill,__all__,6,27,12,1733,0.015564377065670355
prefill,__all__,6,28,47,1731,0.015546414714757867
prefill,__all__,6,29,23,1704,0.015303922977439287
prefill,__all__,6,30,28,1637,0.01470218422187096
prefill,__all__,6,31,6,1544,0.013866934904440293
prefill,__all__,6,32,39,1513,0.013588518465296738
prefill,__all__,6,33,17,1511,0.013570556114384251
prefill,__all__,6,34,58,1484,0.013328064377065671
prefill,__all__,6,35,63,1457,0.01308557263974709
prefill,__all__,6,36,4,1432,0.012861043253340997
prefill,__all__,6,37,30,1374,0.012340135076878861
prefill,__all__,6,38,38,1336,0.0119988504095416
prefill,__all__,6,39,53,1317,0.011828208075872971
prefill,__all__,6,40,25,1314,0.01180126454950424
prefill,__all__,6,41,44,1307,0.011738396321310534
prefill,__all__,6,42,54,1282,0.01151386693490444
prefill,__all__,6,43,13,1279,0.011486923408535708
