phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
prefill,13,code,general,0.20810726940743557,0.06666666666666667
prefill,13,code,math,0.144945468263542,0.14285714285714285
prefill,13,conversation,general,0.04497176029826509,0.06666666666666667
prefill,13,conversation,math,0.028372140185082786,0.3333333333333333
prefill,13,general,math,0.06364300386502952,0.23076923076923078
prefill,14,code,conversation,0.09659795767196545,0.45454545454545453
prefill,14,code,general,0.2091762103512145,0.0
prefill,14,code,math,0.1308381490301578,0.23076923076923078
prefill,14,conversation,general,0.04601785181957876,0.0
prefill,14,conversation,math,0.026745287106505866,0.45454545454545453
prefill,14,general,math,0.061954213270489375,0.0
prefill,15,code,conversation,0.10230892585887374,0.3333333333333333
prefill,15,code,general,0.19941460296805585,0.0
prefill,15,code,math,0.13137285333796125,0.23076923076923078
prefill,15,conversation,general,0.04555393490668118,0.06666666666666667
prefill,15,conversation,math,0.028597444259837936,0.45454545454545453
prefill,15,general,math,0.06338629494207457,0.14285714285714285
