phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,transition,useless,-0.5124999999999997,-0.3999999999999999,-0.4562499999999998,45963,0.7393172136991568
decode,32,3,transition,useless,-0.3999999999999999,-0.2875000000000001,-0.34375,37338,0.6005836460870508
decode,32,3,transition,useless,-0.2875000000000001,-0.17499999999999982,-0.23124999999999996,30467,0.49006325848556714
decode,32,3,transition,useless,-0.17499999999999982,-0.0625,-0.11874999999999991,25236,0.4059223550445341
decode,32,3,transition,useless,-0.0625,0.04999999999999982,-0.006250000000000089,21143,0.3400862400026385
decode,32,3,transition,useless,0.04999999999999982,0.16250000000000053,0.10625000000000018,17449,0.28066806043636155
decode,32,3,transition,useless,0.16250000000000053,0.27500000000000036,0.21875000000000044,14886,0.23944207391000694
decode,32,3,transition,useless,0.27500000000000036,0.3875000000000002,0.33125000000000027,12776,0.20550261563040767
decode,32,3,transition,useless,0.3875000000000002,0.5,0.4437500000000001,10764,0.17313949237990828
decode,32,3,transition,useless,0.5,0.6124999999999998,0.5562499999999999,9472,0.15235760607789775
decode,32,3,transition,useless,0.6124999999999998,0.7250000000000005,0.6687500000000002,7956,0.12797266828080076
decode,32,3,transition,useless,0.7250000000000005,0.8375000000000004,0.7812500000000004,6734,0.10831673557100542
decode,32,3,transition,useless,0.8375000000000004,0.9500000000000002,0.8937500000000003,6203,0.09977557332149489
decode,32,3,transition,useless,0.9500000000000002,1.0625,1.00625,5178,0.08328839572121563
decode,32,3,transition,useless,1.0625,1.1749999999999998,1.11875,4479,0.07204494485039105
decode,32,3,transition,useless,1.1749999999999998,1.2875000000000005,1.2312500000000002,3960,0.06369680321668816
decode,32,3,transition,useless,1.2875000000000005,1.4000000000000004,1.3437500000000004,3248,0.05224424667873858
decode,32,3,transition,useless,1.4000000000000004,1.5125000000000002,1.4562500000000003,2947,0.04740264623221755
decode,32,3,transition,useless,1.5125000000000002,1.625,1.56875,2682,0.04314010763312096
decode,32,3,transition,useless,1.625,1.7374999999999998,1.68125,2166,0.03484022115337062
decode,32,3,transition,useless,1.7374999999999998,1.8500000000000005,1.7937500000000002,1892,0.030432917092417675
decode,32,3,transition,useless,1.8500000000000005,1.9625000000000004,1.9062500000000004,1721,0.027682373317151815
decode,32,3,transition,useless,1.9625000000000004,2.075,2.0187500000000003,1462,0.0235163450259593
decode,32,3,transition,useless,2.075,2.1875,2.13125,1220,0.01962376260716166
decode,32,3,transition,useless,2.1875,2.3,2.24375,1049,0.016873218831895558
decode,32,3,transition,useless,2.3,2.4125000000000005,2.35625,953,0.015329053905430256
decode,32,3,transition,useless,2.4125000000000005,2.5250000000000004,2.4687500000000004,733,0.011790342615614341
decode,32,3,transition,useless,2.5250000000000004,2.6375,2.5812500000000003,647,0.010407028202322617
decode,32,3,transition,useless,2.6375,2.75,2.69375,502,0.008074695761307503
decode,32,3,transition,useless,2.75,2.8625,2.80625,389,0.006257084962447447
decode,32,3,transition,useless,2.8625,2.9750000000000005,2.91875,391,0.006289255065082089
decode,32,3,transition,useless,2.9750000000000005,3.0875000000000004,3.0312500000000004,357,0.0057423633202923876
decode,32,3,transition,useless,3.0875000000000004,3.2,3.1437500000000003,269,0.004326878804365972
decode,32,3,transition,useless,3.2,3.3125,3.25625,225,0.0036191365464027653
decode,32,3,transition,useless,3.3125,3.425,3.36875,216,0.0034743710845466544
decode,32,3,transition,useless,3.425,3.5375000000000005,3.48125,156,0.002509268005505897
decode,32,3,transition,useless,3.5375000000000005,3.6500000000000004,3.5937500000000004,127,0.002042801517302894
decode,32,3,transition,useless,3.6500000000000004,3.7625,3.7062500000000003,125,0.0020106314146682027
decode,32,3,transition,useless,3.7625,3.875,3.81875,110,0.0017693556449080185
decode,32,3,transition,useless,3.875,3.9875,3.93125,110,0.0017693556449080185
decode,32,3,transition,useless,3.9875,4.1,4.043749999999999,120,0.0019302061580814746
decode,32,3,transition,useless,4.1,4.2125,4.15625,107,0.0017211004909559679
decode,32,3,transition,useless,4.2125,4.325000000000001,4.268750000000001,129,0.002074971619937569
decode,32,3,transition,useless,4.325000000000001,4.4375,4.3812500000000005,109,0.0017532705935906865
decode,32,3,transition,useless,4.4375,4.550000000000001,4.49375,117,0.001881951004129423
decode,32,3,transition,useless,4.550000000000001,4.6625,4.60625,98,0.0015763350290998834
decode,32,3,transition,useless,4.6625,4.775,4.71875,60,0.0009651030790407297
decode,32,3,transition,useless,4.775,4.887500000000001,4.831250000000001,38,0.0006112319500591288
decode,32,3,transition,useless,4.887500000000001,5.0,4.9437500000000005,44,0.000707742257963213
decode,32,3,linear,useful_cold,-4.0,-3.8875,-3.94375,0,0.0
decode,32,3,linear,useful_cold,-3.8875,-3.775,-3.83125,0,0.0
decode,32,3,linear,useful_cold,-3.775,-3.6625,-3.71875,0,0.0
decode,32,3,linear,useful_cold,-3.6625,-3.55,-3.60625,0,0.0
decode,32,3,linear,useful_cold,-3.55,-3.4375,-3.49375,0,0.0
decode,32,3,linear,useful_cold,-3.4375,-3.325,-3.38125,1,0.0002034303441787139
decode,32,3,linear,useful_cold,-3.325,-3.2125,-3.26875,0,0.0
decode,32,3,linear,useful_cold,-3.2125,-3.1,-3.15625,0,0.0
decode,32,3,linear,useful_cold,-3.1,-2.9875,-3.04375,0,0.0
decode,32,3,linear,useful_cold,-2.9875,-2.875,-2.93125,1,0.0002034303441787139
decode,32,3,linear,useful_cold,-2.875,-2.7625,-2.81875,1,0.0002034303441787139
decode,32,3,linear,useful_cold,-2.7625,-2.65,-2.70625,1,0.00020343034417871306
decode,32,3,linear,useful_cold,-2.65,-2.5374999999999996,-2.59375,1,0.00020343034417871306
decode,32,3,linear,useful_cold,-2.5374999999999996,-2.425,-2.4812499999999997,3,0.0006102910325361416
decode,32,3,linear,useful_cold,-2.425,-2.3125,-2.36875,3,0.0006102910325361416
decode,32,3,linear,useful_cold,-2.3125,-2.2,-2.25625,6,0.0012205820650722833
decode,32,3,linear,useful_cold,-2.2,-2.0875,-2.14375,9,0.0018308730976084177
decode,32,3,linear,useful_cold,-2.0875,-1.975,-2.03125,3,0.0006102910325361416
decode,32,3,linear,useful_cold,-1.975,-1.8624999999999998,-1.91875,15,0.003051455162680696
decode,32,3,linear,useful_cold,-1.8624999999999998,-1.75,-1.80625,20,0.004068606883574278
decode,32,3,linear,useful_cold,-1.75,-1.6374999999999997,-1.6937499999999999,18,0.0036617461952168353
decode,32,3,linear,useful_cold,-1.6374999999999997,-1.525,-1.5812499999999998,38,0.007730353078791128
decode,32,3,linear,useful_cold,-1.525,-1.4125,-1.46875,50,0.010171517208935695
decode,32,3,linear,useful_cold,-1.4125,-1.2999999999999998,-1.35625,65,0.01322297237161635
decode,32,3,linear,useful_cold,-1.2999999999999998,-1.1875,-1.24375,77,0.01566413650176097
decode,32,3,linear,useful_cold,-1.1875,-1.0749999999999997,-1.1312499999999999,87,0.017698439943548038
decode,32,3,linear,useful_cold,-1.0749999999999997,-0.9624999999999999,-1.0187499999999998,126,0.02563222336651795
decode,32,3,linear,useful_cold,-0.9624999999999999,-0.8500000000000001,-0.90625,200,0.04068606883574278
decode,32,3,linear,useful_cold,-0.8500000000000001,-0.7374999999999998,-0.79375,214,0.0435340936542446
decode,32,3,linear,useful_cold,-0.7374999999999998,-0.625,-0.6812499999999999,245,0.049840434323784905
decode,32,3,linear,useful_cold,-0.625,-0.5124999999999997,-0.5687499999999999,342,0.06957317770911987
