phase,delta,candidate_count,baseline,requests,domains,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction,useful_candidate_amplification,brier_score
decode,23,8,source_copy,32,4,0.51806640625,0.259033203125,0.5364227294921875,0.150390625,2.0,0.25,4.5460214228591855,
decode,23,8,transition,32,4,0.78564453125,0.392822265625,0.8148212432861328,0.4921875,2.0,0.25,2.6203259958334115,
decode,23,12,domain_static,32,4,0.82763671875,0.27587890625,0.8508214950561523,0.5703125,3.0,0.375,3.6675591856968675,
decode,23,12,global_static,32,4,0.7578125,0.25260416666666663,0.7859163284301758,0.51171875,3.0,0.375,4.019527627632958,
decode,23,12,learned,32,4,0.7470703125,0.2490234375,0.7674884796142578,0.384765625,3.0,0.375,4.090084457494964,0.09129200680035865
decode,23,12,source_copy,32,4,0.6962890625,0.23209635416666669,0.7242422103881836,0.36328125,3.0,0.375,4.426560808374706,
decode,23,12,transition,32,4,0.8818359375,0.2939453125,0.9009113311767578,0.697265625,3.0,0.375,3.4387995165765983,
decode,23,16,domain_static,32,4,0.90673828125,0.2266845703125,0.9213199615478516,0.728515625,4.0,0.5,4.439208231569706,
decode,23,16,global_static,32,4,0.86865234375,0.2171630859375,0.8983964920043945,0.666015625,4.0,0.5,4.633847380329426,
decode,23,16,learned,32,4,0.87109375,0.2177734375,0.8668479919433594,0.59765625,4.0,0.5,4.620722112519636,0.09129200680035865
decode,23,16,source_copy,32,4,0.828125,0.20703125,0.8373079299926758,0.6015625,4.0,0.5,4.864218617045514,
decode,23,16,transition,32,4,0.92919921875,0.2322998046875,0.9410476684570312,0.798828125,4.0,0.5,4.3219721292121385,
prefill,1,4,domain_static,32,4,0.42306929495005785,0.42306929495005785,0.45183966956321653,0.029547248384200125,1.0,0.125,2.3748856146721997,
prefill,1,4,global_static,32,4,0.400414443715724,0.400414443715724,0.4255881629852357,0.02925216228771905,1.0,0.125,2.5219008845290096,
prefill,1,4,learned,32,4,0.44481898159933264,0.44481898159933264,0.4792066579903666,0.0379971840991573,1.0,0.125,2.262123734407472,0.08711075130959595
prefill,1,4,source_copy,32,4,0.13179299401726602,0.13179299401726602,0.12867535358296267,8.087474120082816e-06,1.0,0.125,7.604870768401934,
prefill,1,4,transition,32,4,0.5905594651500212,0.5905594651500212,0.6367982192255962,0.08316417667812989,1.0,0.125,1.695386500331396,
prefill,1,8,domain_static,32,4,0.6340641324686513,0.31703206623432567,0.6628735894027754,0.1863087873897138,2.0,0.25,3.162066025104439,
prefill,1,8,global_static,32,4,0.6041746051613563,0.3020873025806782,0.6321949758546512,0.16370840273800658,2.0,0.25,3.3286085473443707,
prefill,1,8,learned,32,4,0.6497068887258246,0.3248534443629123,0.6783440976198447,0.21020787190417714,2.0,0.25,3.090392481952965,0.08711075130959595
prefill,1,8,source_copy,32,4,0.5082546835963362,0.2541273417981681,0.5323157962730298,0.07779135568741256,2.0,0.25,3.9552867015621165,
prefill,1,8,transition,32,4,0.8064188685644184,0.4032094342822092,0.8322395958065654,0.431684237363766,2.0,0.25,2.482033827436841,
prefill,1,12,domain_static,32,4,0.769144005487978,0.2563813351626593,0.7947144144544903,0.37828446824243495,3.0,0.375,3.906324587957391,
prefill,1,12,global_static,32,4,0.7388023727203125,0.2462674575734375,0.7647310977134324,0.34006349216353415,3.0,0.375,4.078483808655815,
prefill,1,12,learned,32,4,0.772087404228746,0.25736246807624863,0.7944959233548633,0.3975768765429968,3.0,0.375,3.8954455912845427,0.08711075130959595
prefill,1,12,source_copy,32,4,0.6895506893589695,0.22985022978632316,0.713218785061256,0.25782066340229376,3.0,0.375,4.368774929749322,
prefill,1,12,transition,32,4,0.9059627329298777,0.30198757764329254,0.9203786473371998,0.6907774316262032,3.0,0.375,3.3128699918376046,
prefill,1,16,domain_static,32,4,0.8654817681624574,0.21637044204061434,0.883751410691298,0.5875486369453145,4.0,0.5,4.62617177089965,
prefill,1,16,global_static,32,4,0.8369011245423381,0.20922528113558453,0.8559515307906908,0.5206520865202049,4.0,0.5,4.792154484427972,
prefill,1,16,learned,32,4,0.8540169727801049,0.21350424319502623,0.8705107965871751,0.5671529269930041,4.0,0.5,4.69005091988334,0.08711075130959595
prefill,1,16,source_copy,32,4,0.8112497752813219,0.20281244382033048,0.8319139811271693,0.4594060863934882,4.0,0.5,4.944176807874241,
prefill,1,16,transition,32,4,0.9537472670284945,0.23843681675712364,0.9615574604173549,0.8380008888411928,4.0,0.5,4.194816856336455,
prefill,2,4,domain_static,32,4,0.4316798832332004,0.4316798832332004,0.4610161597133149,0.030866214184991473,1.0,0.125,2.3276117796502427,
prefill,2,4,global_static,32,4,0.4084272973842125,0.4084272973842125,0.4337385228885807,0.030581806028069917,1.0,0.125,2.4722669640263373,
prefill,2,4,learned,32,4,0.45814783075105575,0.45814783075105575,0.4924284194905799,0.044621573898689065,1.0,0.125,2.1955940625344867,0.08670323887093681
prefill,2,4,source_copy,32,4,0.1278946905368551,0.1278946905368551,0.125810119473872,0.0,1.0,0.125,7.831262400602314,
prefill,2,4,transition,32,4,0.5761851017035582,0.5761851017035582,0.6206953684769756,0.07567609579543957,1.0,0.125,1.7383601194476754,
prefill,2,8,domain_static,32,4,0.6438704935067114,0.3219352467533557,0.6720878762553896,0.19358222372267256,2.0,0.25,3.11392373327256,
prefill,2,8,global_static,32,4,0.6135534706039415,0.30677673530197075,0.6403618153444213,0.17065099831535205,2.0,0.25,3.277704759215551,
prefill,2,8,learned,32,4,0.659480703819955,0.3297403519099775,0.6870724800114709,0.221545229338084,2.0,0.25,3.046266323596431,0.08670323887093681
prefill,2,8,source_copy,32,4,0.5136248386873437,0.2568124193436718,0.5369036733635388,0.0854891358293338,2.0,0.25,3.9083289047853595,
prefill,2,8,transition,32,4,0.7974758360193417,0.39873791800967084,0.8234951604678911,0.4234797453752289,2.0,0.25,2.5104918790583937,
prefill,2,12,domain_static,32,4,0.7781403387845237,0.25938011292817453,0.802475467058244,0.39147930831989797,3.0,0.375,3.861210230728734,
prefill,2,12,global_static,32,4,0.7477702518933562,0.24925675063111874,0.7719848183809275,0.35278998053309035,3.0,0.375,4.029526137541776,
prefill,2,12,learned,32,4,0.7821899777496524,0.2607299925832174,0.8039591307952303,0.41149521416707846,3.0,0.375,3.846232306858079,0.08670323887093681
prefill,2,12,source_copy,32,4,0.6984286530796615,0.23280955102655382,0.7224952578168142,0.26173119453524407,3.0,0.375,4.308753839574392,
prefill,2,12,transition,32,4,0.8972966725972306,0.29909889086574354,0.9122771325512704,0.6710074826695713,3.0,0.375,3.3451298795462776,
prefill,2,16,domain_static,32,4,0.87276335618736,0.21819083904684,0.8897178589526675,0.6036316878799277,4.0,0.5,4.587606037565324,
prefill,2,16,global_static,32,4,0.8440120254376584,0.2110030063594146,0.8617249608091913,0.536158913497431,4.0,0.5,4.752274315712654,
prefill,2,16,learned,32,4,0.8661773393796041,0.21654433484490102,0.8820658919940664,0.5891121230529481,4.0,0.5,4.624772470123961,0.08670323887093681
prefill,2,16,source_copy,32,4,0.815808793346083,0.20395219833652076,0.8352674800806983,0.4693446210028947,4.0,0.5,4.91469995935082,
prefill,2,16,transition,32,4,0.9485902880909971,0.23714757202274928,0.9569800340440473,0.8216693579968758,4.0,0.5,4.217758363765718,
prefill,3,4,domain_static,32,4,0.43697848903616016,0.43697848903616016,0.4677972561502404,0.03221213970322786,1.0,0.125,2.29884333651463,
prefill,3,4,global_static,32,4,0.41444300321527083,0.41444300321527083,0.4406544259761581,0.03203808250559706,1.0,0.125,2.4350293035817847,
