phase,domain,delta,predictions,positive_frequency,mean_score,brier_score,expected_calibration_error
decode,math,4,81920,0.125,0.12671740353107452,0.09143158793449402,0.007534085051338473
decode,math,5,77824,0.125,0.12592020630836487,0.09229598194360733,0.005757251232065948
decode,math,6,73728,0.125,0.12647470831871033,0.09195171296596527,0.009674758725749497
decode,math,7,69632,0.125,0.12433511763811111,0.09185142815113068,0.006321044193207534
decode,math,8,65536,0.125,0.12320394068956375,0.09103990346193314,0.010985599756850204
decode,math,9,61440,0.125,0.12567876279354095,0.09098706394433975,0.006548263999866322
decode,math,10,57344,0.125,0.12592840194702148,0.09179781377315521,0.006956882507568347
decode,math,11,53248,0.125,0.12637272477149963,0.09199630469083786,0.00943441728542474
decode,math,12,49152,0.125,0.12490000575780869,0.09261267632246017,0.006236793085008684
decode,math,13,45056,0.125,0.12616704404354095,0.09324750304222107,0.007973299258992487
decode,math,14,40960,0.125,0.1257134974002838,0.0941375121474266,0.010053896414865447
decode,math,15,36864,0.125,0.1253339648246765,0.0937846377491951,0.007931029862548816
decode,math,16,32768,0.125,0.12457594275474548,0.09464510530233383,0.01003848691425446
decode,math,17,28672,0.125,0.1259618103504181,0.09441892802715302,0.012180691568833679
decode,math,18,24576,0.125,0.12499698996543884,0.0944053903222084,0.006787589350399987
decode,math,19,20480,0.125,0.12770989537239075,0.0938347578048706,0.00718160194155644
decode,math,20,16384,0.125,0.12811052799224854,0.09388233721256256,0.01346606593051547
decode,math,21,12288,0.125,0.1290484070777893,0.09177219867706299,0.01579487626501457
decode,math,22,8192,0.125,0.1258457899093628,0.09010237455368042,0.008524057071554124
decode,math,23,4096,0.125,0.12291435152292252,0.09251587092876434,0.030907868957001483
