phase,delta,score_threshold,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,mean_candidate_count,candidate_amplification,candidate_set_fraction
prefill,10,0.15,0.7131253247703448,0.33280271265321704,0.7366653867033245,0.306625887722423,8.572592387177801,2.1431480967944503,0.2678935120993063
prefill,11,0.15,0.7142846779369156,0.3359276550048024,0.7369045025774166,0.30907241759263715,8.505754085330501,2.1264385213326253,0.26580481516657817
prefill,12,0.15,0.7211694448714152,0.3402329735735208,0.7446945735692727,0.31392850096904434,8.477916897089733,2.119479224272433,0.26493490303405415
prefill,13,0.15,0.7218284804889142,0.3391830777966997,0.7451464235527028,0.31923298266867417,8.511306756150274,2.1278266890375686,0.26597833612969607
prefill,14,0.15,0.7254838755545105,0.34522391399088426,0.7467611228822104,0.3219313694239501,8.405936921458078,2.1014842303645196,0.26268552879556495
prefill,15,0.15,0.7412749858328909,0.3500726397839637,0.7633023884444069,0.3462640468352249,8.468919080534354,2.1172297701335885,0.26465372126669856
prefill,16,0.15,0.748540947481037,0.36484591295586266,0.769891577736034,0.3599075453417267,8.207251264053763,2.051812816013441,0.2564766020016801
prefill,17,0.15,0.7657086372149615,0.38577013525909976,0.7870527624578424,0.3785421196629781,7.939259781929074,1.9848149454822686,0.24810186818528357
prefill,18,0.15,0.7617879765672861,0.38881675337613697,0.7832509490296973,0.3855147238658795,7.837086550657926,1.9592716376644814,0.24490895470806018
prefill,19,0.15,0.7639759240861671,0.4004477960719812,0.7850807372685897,0.39237071808498725,7.631102230385292,1.907775557596323,0.23847194469954036
prefill,20,0.15,0.7823374402837353,0.43467038322944485,0.79831387889706,0.4691001939502725,7.199823607710417,1.7999559019276044,0.22499448774095054
prefill,21,0.15,0.7857966100506099,0.4350423861223386,0.803032965796658,0.4709059801285671,7.225349763215076,1.806337440803769,0.2257921801004711
prefill,22,0.15,0.7948784862643639,0.4096810444796295,0.8011943317293226,0.5213436867019356,7.762131583650122,1.9405328959125305,0.24256661198906632
prefill,23,0.15,0.7926830302606895,0.4504704013140767,0.7885696273601677,0.5138996681295742,7.038719923585539,1.7596799808963848,0.2199599976120481
decode,1,0.2,0.5578931725543478,0.3512363856345251,0.5837023154548977,0.15302309782608695,6.35640285326087,1.5891007133152175,0.1986375891644022
decode,2,0.2,0.5607466264204546,0.3564022136279164,0.5850232297723943,0.1503018465909091,6.287730823863637,1.5719327059659092,0.19649158824573865
decode,3,0.2,0.5739629836309523,0.36642631189552244,0.5966642470586868,0.1704799107142857,6.26274181547619,1.5656854538690474,0.19571068173363093
decode,4,0.2,0.5785400390625,0.3700387592445903,0.6060484886169434,0.16201171875,6.25283203125,1.5632080078125,0.1954010009765625
decode,5,0.2,0.5736533717105263,0.36766805998359586,0.5940664190995066,0.18842516447368418,6.237561677631579,1.5593904194078947,0.19492380242598684
decode,6,0.2,0.5728081597222222,0.36195493572251297,0.5973809030320909,0.16634114583333334,6.331705729166667,1.5829264322916667,0.19786580403645834
