train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
instruct,base,prefill,math,9,15,6,16,516,8,0.6838662790697675,0.12015503875968993,2.0,2.924548352816153,0.4773058252427185,0.3856403967498897
instruct,base,prefill,math,9,15,6,32,516,8,0.9089147286821705,0.5271317829457365,4.0,4.400852878464819,0.3112864077669903,0.5442765800383778
instruct,base,prefill,math,10,11,1,8,516,8,0.6654554263565892,0.001937984496124031,1.0,1.5027302511831089,0.662864077669903,0.24331250195327747
instruct,base,prefill,math,10,11,1,16,516,8,0.8653100775193798,0.3798449612403101,2.0,2.3113101903695408,0.47827669902912623,0.385735570368304
instruct,base,prefill,math,10,11,1,32,516,8,0.9750484496124031,0.8294573643410853,4.0,4.102360248447205,0.35175970873786405,0.5047420998170978
instruct,base,prefill,math,10,12,2,8,516,8,0.5772771317829457,0.001937984496124031,1.0,1.732270247587075,0.6548543689320389,0.24249299783280243
instruct,base,prefill,math,10,12,2,16,516,8,0.813953488372093,0.20348837209302326,2.0,2.4571428571428573,0.516504854368932,0.35215335019789973
instruct,base,prefill,math,10,12,2,32,516,8,0.9639050387596899,0.7848837209302325,4.0,4.1497863784870574,0.34896844660194176,0.5055216166971337
instruct,base,prefill,math,10,13,3,8,516,8,0.5804263565891473,0.003875968992248062,1.0,1.7228714524207012,0.7160194174757282,0.20947410733818433
instruct,base,prefill,math,10,13,3,16,516,8,0.7681686046511628,0.10271317829457365,2.0,2.6035950804162726,0.5233009708737864,0.3464156099456336
instruct,base,prefill,math,10,13,3,32,516,8,0.9413759689922481,0.6511627906976745,4.0,4.249099330931549,0.33149271844660194,0.5234327846169841
instruct,base,prefill,math,10,14,4,8,516,8,0.5612887596899225,0.005813953488372093,1.0,1.7816141562365126,0.7429611650485437,0.19002012011720718
instruct,base,prefill,math,10,14,4,16,516,8,0.7790697674418605,0.1375968992248062,2.0,2.5671641791044775,0.5609223300970874,0.31677555536639784
instruct,base,prefill,math,10,14,4,32,516,8,0.9626937984496124,0.7829457364341085,4.0,4.155007549068948,0.345873786407767,0.5088318239308005
