checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,general,0,14,14,32,0.74375,0.62075,0.123,0.19266666666666668,0.04066666666666666,0.15200000000000002
base,prefill,general,0,15,15,8,0.24733333333333332,0.16475,0.08258333333333331,0.0,0.0,0.0
base,prefill,general,0,15,15,16,0.46316666666666667,0.35208333333333336,0.11108333333333331,0.006666666666666667,0.0,0.006666666666666667
base,prefill,general,0,15,15,32,0.7675,0.6706666666666666,0.09683333333333333,0.192,0.04933333333333333,0.14266666666666666
base,prefill,math,0,1,1,8,0.342781007751938,0.18895348837209303,0.15382751937984496,0.0,0.0,0.0
base,prefill,math,0,1,1,16,0.5707364341085271,0.3313953488372093,0.23934108527131787,0.050387596899224806,0.0,0.050387596899224806
base,prefill,math,0,1,1,32,0.7890019379844961,0.6298449612403101,0.15915697674418605,0.23062015503875968,0.046511627906976744,0.18410852713178294
base,prefill,math,0,2,2,8,0.24612403100775193,0.10295542635658915,0.14316860465116277,0.0,0.0,0.0
base,prefill,math,0,2,2,16,0.41957364341085274,0.23909883720930233,0.1804748062015504,0.0,0.0,0.0
base,prefill,math,0,2,2,32,0.716327519379845,0.5390019379844961,0.17732558139534882,0.10465116279069768,0.01937984496124031,0.08527131782945738
base,prefill,math,0,3,3,8,0.3650678294573643,0.22916666666666666,0.13590116279069767,0.0,0.0,0.0
base,prefill,math,0,3,3,16,0.5794573643410853,0.4103682170542636,0.16908914728682173,0.03294573643410853,0.0,0.03294573643410853
base,prefill,math,0,3,3,32,0.7996608527131783,0.6993701550387597,0.10029069767441867,0.22286821705426357,0.08333333333333333,0.13953488372093026
base,prefill,math,0,4,4,8,0.3028100775193798,0.20784883720930233,0.0949612403100775,0.0,0.0,0.0
base,prefill,math,0,4,4,16,0.5065406976744186,0.3757267441860465,0.13081395348837205,0.007751937984496124,0.0,0.007751937984496124
base,prefill,math,0,4,4,32,0.7698643410852714,0.623062015503876,0.1468023255813954,0.15891472868217055,0.050387596899224806,0.10852713178294573
base,prefill,math,0,5,5,8,0.32630813953488375,0.20784883720930233,0.11845930232558141,0.0,0.0,0.0
base,prefill,math,0,5,5,16,0.5164728682170543,0.34665697674418605,0.16981589147286824,0.003875968992248062,0.0,0.003875968992248062
base,prefill,math,0,5,5,32,0.7589631782945736,0.6179748062015504,0.14098837209302317,0.1744186046511628,0.04263565891472868,0.13178294573643412
base,prefill,math,0,6,6,8,0.3810562015503876,0.31419573643410853,0.06686046511627908,0.0,0.0,0.0
base,prefill,math,0,6,6,16,0.5925387596899225,0.45276162790697677,0.13977713178294576,0.05813953488372093,0.001937984496124031,0.0562015503875969
base,prefill,math,0,6,6,32,0.8214631782945736,0.7112403100775194,0.11022286821705418,0.22674418604651161,0.046511627906976744,0.18023255813953487
base,prefill,math,0,7,7,8,0.33454457364341084,0.22892441860465115,0.10562015503875968,0.0,0.0,0.0
base,prefill,math,0,7,7,16,0.5169573643410853,0.33624031007751937,0.18071705426356593,0.060077519379844964,0.0,0.060077519379844964
base,prefill,math,0,7,7,32,0.7579941860465116,0.6371124031007752,0.12088178294573637,0.18604651162790697,0.05426356589147287,0.13178294573643412
base,prefill,math,0,8,8,8,0.3808139534883721,0.24224806201550386,0.13856589147286824,0.0,0.0,0.0
base,prefill,math,0,8,8,16,0.6237887596899225,0.3958333333333333,0.22795542635658922,0.0872093023255814,0.0,0.0872093023255814
base,prefill,math,0,8,8,32,0.8171027131782945,0.7039728682170543,0.11312984496124023,0.312015503875969,0.10271317829457365,0.20930232558139533
base,prefill,math,0,9,9,8,0.342781007751938,0.19476744186046513,0.14801356589147285,0.0,0.0,0.0
base,prefill,math,0,9,9,16,0.5525678294573644,0.3168604651162791,0.2357073643410853,0.0562015503875969,0.0,0.0562015503875969
base,prefill,math,0,9,9,32,0.8117732558139535,0.6191860465116279,0.19258720930232565,0.3178294573643411,0.029069767441860465,0.28875968992248063
base,prefill,math,0,10,10,8,0.30935077519379844,0.14001937984496124,0.1693313953488372,0.0,0.0,0.0
base,prefill,math,0,10,10,16,0.502422480620155,0.3311531007751938,0.17126937984496127,0.009689922480620155,0.0,0.009689922480620155
base,prefill,math,0,10,10,32,0.7834302325581395,0.6480135658914729,0.13541666666666663,0.2713178294573643,0.08139534883720931,0.18992248062015502
base,prefill,math,0,11,11,8,0.3173449612403101,0.2235949612403101,0.09375,0.001937984496124031,0.0,0.001937984496124031
base,prefill,math,0,11,11,16,0.5552325581395349,0.3631298449612403,0.19210271317829458,0.0562015503875969,0.0,0.0562015503875969
base,prefill,math,0,11,11,32,0.7914244186046512,0.6913759689922481,0.10004844961240311,0.26744186046511625,0.1434108527131783,0.12403100775193796
base,prefill,math,0,12,12,8,0.29844961240310075,0.1875,0.11094961240310075,0.0,0.0,0.0
base,prefill,math,0,12,12,16,0.4874031007751938,0.32921511627906974,0.15818798449612403,0.009689922480620155,0.0,0.009689922480620155
base,prefill,math,0,12,12,32,0.78125,0.6589147286821705,0.12233527131782951,0.29457364341085274,0.14922480620155038,0.14534883720930236
