phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
decode,__domain_balanced__,10,16,transition,24,0.6674417162698413,0.12012235449735449,2.0,3.0302970617139238,0.37673438535453946
decode,__domain_balanced__,10,32,domain_oracle,24,0.7616257440476191,0.2346230158730159,4.0,5.302016738782348,0.0
decode,__domain_balanced__,10,32,linear,24,0.9033874834656085,0.5764715608465608,4.0,4.435340857923489,0.3750155318091451
decode,__domain_balanced__,10,32,static,24,0.6581101190476191,0.09135251322751321,4.0,6.146568873277431,0.0
decode,__domain_balanced__,10,32,transition,24,0.8669498181216931,0.43270502645502645,4.0,4.623311479356939,0.24534045725646125
decode,__domain_balanced__,11,8,domain_oracle,20,0.30403025793650795,0.0011904761904761904,1.0,3.7534158497137087,0.0
decode,__domain_balanced__,11,8,linear,20,0.531423611111111,0.030357142857142853,1.0,1.9322227130676748,0.6523111332007951
decode,__domain_balanced__,11,8,static,20,0.22374751984126987,0.0,1.0,5.994457879035181,0.0
decode,__domain_balanced__,11,8,transition,20,0.44485367063492065,0.00486111111111111,1.0,2.332529338699344,0.43121272365805174
decode,__domain_balanced__,11,16,domain_oracle,20,0.4947916666666667,0.04186507936507937,2.0,4.263976845758207,0.0
decode,__domain_balanced__,11,16,linear,20,0.7308531746031746,0.2261904761904762,2.0,2.7669661051575525,0.5480367793240557
decode,__domain_balanced__,11,16,static,20,0.3886780753968254,0.007142857142857143,2.0,5.58018942820464,0.0
decode,__domain_balanced__,11,16,transition,20,0.6470486111111111,0.10496031746031746,2.0,3.135411420557508,0.37234716699801196
decode,__domain_balanced__,11,32,domain_oracle,20,0.7650669642857143,0.24543650793650795,4.0,5.2818897822799755,0.0
decode,__domain_balanced__,11,32,linear,20,0.8965525793650795,0.554265873015873,4.0,4.469662368493907,0.3773328777335984
decode,__domain_balanced__,11,32,static,20,0.659437003968254,0.09900793650793652,4.0,6.139103509754972,0.0
decode,__domain_balanced__,11,32,transition,20,0.8504092261904763,0.3871031746031746,4.0,4.718611328976587,0.23453963717693838
decode,__domain_balanced__,12,8,domain_oracle,16,0.30171130952380953,0.0013640873015873015,1.0,3.7605886259432615,0.0
