phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
decode,4,14,10,5995,128,64,30,0.7212209317761724
decode,4,15,11,5995,128,64,30,0.766204911336191
decode,5,6,1,5995,128,64,30,0.5902434427903234
decode,5,7,2,5995,128,64,30,0.5989231843367728
decode,5,8,3,5995,128,64,30,0.5853076112876842
decode,5,9,4,5995,128,64,30,0.5890749057796819
decode,5,10,5,5995,128,64,30,0.6196004287713364
decode,5,11,6,5995,128,64,30,0.6277956594518068
decode,5,12,7,5995,128,64,30,0.6517604084786423
decode,5,13,8,5995,128,64,30,0.702911362119075
decode,5,14,9,5995,128,64,30,0.7122072433311806
decode,5,15,10,5995,128,64,30,0.7556254716691024
decode,6,7,1,5995,128,64,30,0.5761192661310057
decode,6,8,2,5995,128,64,30,0.5600125347305279
decode,6,9,3,5995,128,64,30,0.5655710465317473
decode,6,10,4,5995,128,64,30,0.5971511700334302
decode,6,11,5,5995,128,64,30,0.6088050637173593
decode,6,12,6,5995,128,64,30,0.6328331084824086
decode,6,13,7,5995,128,64,30,0.6838775013962619
decode,6,14,8,5995,128,64,30,0.6932515165823713
decode,6,15,9,5995,128,64,30,0.736787435857329
decode,7,8,1,5995,128,64,30,0.5406885528584338
decode,7,9,2,5995,128,64,30,0.5452425483667025
decode,7,10,3,5995,128,64,30,0.5776884152056079
decode,7,11,4,5995,128,64,30,0.5905497115686399
decode,7,12,5,5995,128,64,30,0.6153489534510882
decode,7,13,6,5995,128,64,30,0.6674481290394908
decode,7,14,7,5995,128,64,30,0.6776465210246483
decode,7,15,8,5995,128,64,30,0.7263738079305685
decode,8,9,1,5995,128,64,30,0.5250541765556622
decode,8,10,2,5995,128,64,30,0.5556457833014895
decode,8,11,3,5995,128,64,30,0.5693455792050047
decode,8,12,4,5995,128,64,30,0.59541282036386
decode,8,13,5,5995,128,64,30,0.6508969056397502
decode,8,14,6,5995,128,64,30,0.6579373627130541
decode,8,15,7,5995,128,64,30,0.7083516444933226
decode,9,10,1,5995,128,64,30,0.5373067774903884
decode,9,11,2,5995,128,64,30,0.5508527642294603
decode,9,12,3,5995,128,64,30,0.5743000404550395
decode,9,13,4,5995,128,64,30,0.6308835442111927
decode,9,14,5,5995,128,64,30,0.6352432016236669
decode,9,15,6,5995,128,64,30,0.6873183675961657
decode,10,11,1,5995,128,64,30,0.5290631044000462
decode,10,12,2,5995,128,64,30,0.5456168783914058
decode,10,13,3,5995,128,64,30,0.5955357057040089
decode,10,14,4,5995,128,64,30,0.6059525823175559
decode,10,15,5,5995,128,64,30,0.6603946479188093
decode,11,12,1,5995,128,64,30,0.543497315151081
decode,11,13,2,5995,128,64,30,0.5899192116576697
decode,11,14,3,5995,128,64,30,0.5977914660746501
decode,11,15,4,5995,128,64,30,0.6466150163013404
decode,12,13,1,5995,128,64,30,0.5865102266450044
decode,12,14,2,5995,128,64,30,0.5944421646692437
decode,12,15,3,5995,128,64,30,0.638426936279246
decode,13,14,1,5995,128,64,30,0.594039321204242
decode,13,15,2,5995,128,64,30,0.6338855428234351
decode,14,15,1,5995,128,64,30,0.6292591374053669
