phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,8,15,2.0,0.9773803949356079,0.14409302708667676,8012,0,64096,21595,42501,64,42437,42501,0,806514327552,271727984640,534786342912,805306368,533981036544,534786342912,0,0.33691650024962555,1.0,0.0,6124.097744210509,0.0,1.0,0.0,634469,1024,633445,1025536
decode,16,1,0.5,0.9773803949356079,0.566645939406511,120180,99990,961440,533764,427676,960,426716,113665,314011,12097714913280,6716305440768,5381409472512,12079595520,5369329876992,1430236692480,3951172780032,0.5551714095523381,0.26577362302303614,0.7342263769769639,242340.86878157227,136863.71986934912,0.43524292638932593,0.8320019970044933,464955,1024,463931,1025536
decode,16,2,0.5,0.9773803949356079,0.566645939406511,112168,79626,897344,506163,391181,896,390285,137681,253500,11291200585728,6369004486656,4922196099072,11274289152,4910921809920,1732427907072,3189768192000,0.5640679605591613,0.35196239081141467,0.6480376091885853,221661.1252229493,112626.05169547099,0.4918998467494451,0.7098816061621853,464955,1024,463931,1025536
decode,16,3,0.5,0.9773803949356079,0.566645939406511,104156,64256,833248,473237,360011,832,359179,145533,214478,10484686258176,5954699526144,4529986732032,10468982784,4519517749248,1831228932096,2698757799936,0.5679425573178694,0.4042459813727914,0.5957540186272086,203998.77129165936,95799.72506077687,0.530390676109461,0.6169207726871232,464955,1024,463931,1025536
decode,16,6,0.5,0.9773803949356079,0.566645939406511,80120,33183,640960,357852,283108,640,282468,158328,124780,8065143275520,4502820225024,3562323050496,8053063680,3554269986816,1992227291136,1570095759360,0.5583062905641538,0.5592494736990831,0.440750526300917,160421.99861350312,57557.853165036555,0.6412097239624357,0.4141662506240639,464955,1024,463931,1025536
decode,16,9,0.5,0.9773803949356079,0.566645939406511,56084,13925,448672,239293,209379,448,208931,156361,53018,5645600292864,3011002761216,2634597531648,5637144576,2628960387072,1967476703232,667120828416,0.5333361564795663,0.7467845390416422,0.2532154609583578,118643.7601470138,24464.516010402916,0.7937985446509075,0.2482882818629199,464955,1024,463931,1025536
decode,16,12,0.5,0.9773803949356079,0.566645939406511,32048,635,256384,138689,117695,256,117439,116006,1689,3226057310208,1745111482368,1480945827840,3221225472,1477724602368,1459693289472,21252538368,0.5409424925112332,0.9856493478907346,0.014350652109265474,66691.39383845437,643.0210180124944,0.9903582609238896,0.01981402895656515,464955,1024,463931,1025536
decode,16,15,0.5,0.9773803949356079,0.566645939406511,8012,0,64096,33972,30124,64,30060,30124,0,806514327552,427466686464,379047641088,805306368,378242334720,379047641088,0,0.5300174737893161,1.0,0.0,17069.642278682833,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,1,1.0,0.9773803949356079,0.28494399785995483,120180,59598,961440,533764,427676,960,426716,294290,133386,12097714913280,6716305440768,5381409472512,12079595520,5369329876992,3703025172480,1678384300032,0.5551714095523381,0.6881143669506823,0.3118856330493177,121863.70922875404,30703.90047454834,0.7480472187424303,0.4959061407888168,464955,1024,463931,1025536
decode,16,2,1.0,0.9773803949356079,0.28494399785995483,112168,33637,897344,506163,391181,896,390285,307692,83489,11291200585728,6369004486656,4922196099072,11274289152,4910921809920,3871661359104,1050534739968,0.5640679605591613,0.7865719449564268,0.21342805504357318,111464.67802685499,19318.172427773476,0.8266879448293101,0.2998805363383496,464955,1024,463931,1025536
decode,16,3,1.0,0.9773803949356079,0.28494399785995483,104156,21257,833248,473237,360011,832,359179,302118,57893,10484686258176,5954699526144,4529986732032,10468982784,4519517749248,3801524207616,728462524416,0.5679425573178694,0.8391910247186891,0.16080897528131086,102582.9736135602,13797.809700012207,0.8654961031643529,0.2040880986212988,464955,1024,463931,1025536
