capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,eligible_cold_waves,incomplete_cold_waves,correlation_block_waves,mean_incomplete_run_waves,max_incomplete_run_waves,requested_predicted_to_useful_amplification,realized_predicted_to_useful_amplification,useful_predicted_objects,false_predicted_objects,predicted_objects,miss_generation,evidence_coverage,evidence_demand
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,1.0,1.0,195497,0,195497,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,1.25,1.2499987212079982,195497,48874,244371,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,1.5,1.499997442415996,195497,97748,293245,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,2.0,2.0,195497,195497,390994,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,4.0,4.0,195497,586491,781988,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.5,0.4999937229301362,79655,39828,4,8.00723763570567,64,8.0,8.0,195497,1368479,1563976,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,1.0,1.0,293606,0,293606,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,1.25,1.2500017029624735,293606,73402,367008,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,1.5,1.5,293606,146803,440409,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,2.0,2.0,293606,293606,587212,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,4.0,4.0,293606,880818,1174424,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.75,0.749996861465068,79655,19914,4,5.293460925039873,28,8.0,8.0,293606,2055242,2348848,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,1.0,1.0,352025,0,352025,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,1.25,1.249999289823166,352025,88006,440031,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,1.5,1.499998579646332,352025,176012,528037,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,2.0,2.0,352025,352025,704050,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,4.0,4.0,352025,1056075,1408100,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.9,0.9000062770698638,79655,7965,4,4.417637271214642,12,8.0,8.0,352025,2464175,2816200,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,1.0,1.0,371705,0,371705,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,1.25,1.249999327423629,371705,92926,464631,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,1.5,1.499998654847258,371705,185852,557557,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,2.0,2.0,371705,371705,743410,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,4.0,4.0,371705,1115115,1486820,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.95,0.9499968614650681,79655,3983,4,4.197049525816649,12,8.0,8.0,371705,2601935,2973640,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,1.0,1.0,387146,0,387146,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,1.25,1.2499987084975694,387146,96786,483932,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
