track,capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,coverage,amplification,raw_cold_service_headroom,effective_headroom_after_amplification,first_order_stall_reduction,oracle_recovery,category,evidence_demand,evidence_predictor,evidence_hardware
AX2,8,1,32.0,0.75,1.0,0.3334473923854642,0.3334473923854642,0.2500855442890982,0.75,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.75,1.25,0.3334473923854642,0.2667579139083714,0.20006843543127856,0.6000000000000001,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.75,1.5,0.3334473923854642,0.2222982615903095,0.1667236961927321,0.5,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.75,2.0,0.3334473923854642,0.1667236961927321,0.1250427721445491,0.375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.75,4.0,0.3334473923854642,0.08336184809636606,0.06252138607227455,0.1875,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.75,8.0,0.3334473923854642,0.04168092404818303,0.03126069303613727,0.09375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,1.0,0.3334473923854642,0.3334473923854642,0.3001026531469178,0.9,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,1.25,0.3334473923854642,0.2667579139083714,0.24008212251753425,0.72,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,1.5,0.3334473923854642,0.2222982615903095,0.20006843543127856,0.6000000000000001,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,2.0,0.3334473923854642,0.1667236961927321,0.1500513265734589,0.45,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,4.0,0.3334473923854642,0.08336184809636606,0.07502566328672945,0.225,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.9,8.0,0.3334473923854642,0.04168092404818303,0.037512831643364726,0.1125,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.95,1.0,0.3334473923854642,0.3334473923854642,0.316775022766191,0.95,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.95,1.25,0.3334473923854642,0.2667579139083714,0.2534200182129528,0.7599999999999999,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.95,1.5,0.3334473923854642,0.2222982615903095,0.211183348510794,0.6333333333333333,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.95,2.0,0.3334473923854642,0.1667236961927321,0.1583875113830955,0.475,service_limited,trace_derived,assumed,hypothetical
