track,capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,requested_amplification,realized_amplification,bandwidth_gbps,startup_latency_us,transfer_concurrency,expert_size_mib,expert_transfer_ms,fast_tier_expert_gib,offloaded_expert_gib,eligible_cold_demand_objects,useful_predicted_objects,false_predicted_objects,cold_demand_bytes,useful_predicted_bytes,false_predicted_bytes,candidate_movement_bytes,deadline_feasible_useful_bytes,late_useful_bytes,missed_or_unpredictable_bytes,mean_eligible_cold_objects_per_wave,cold_service_headroom,cold_service_pressure_with_amplification,mean_reactive_stall_ms,p50_reactive_stall_ms,p95_reactive_stall_ms,p99_reactive_stall_ms,mean_predictive_stall_ms,p50_predictive_stall_ms,p95_predictive_stall_ms,p99_predictive_stall_ms,mean_oracle_stall_ms,p50_oracle_stall_ms,p95_oracle_stall_ms,p99_oracle_stall_ms,mean_stall_reduction_vs_reactive,p99_stall_reduction_vs_reactive,mean_oracle_stall_reduction,mean_oracle_recovery,modeled_p99_tpot_ms,reactive_p99_tpot_ms,oracle_p99_tpot_ms,p99_tpot_ratio_vs_reactive,p99_tpot_slowdown_vs_all_resident,deadline_feasible_predicted_wave_fraction,deadline_feasible_useful_objects,late_useful_objects,missed_or_unpredictable_objects,tail_model,evidence_expert_and_timing,evidence_demand,evidence_predictor,evidence_hardware
AX1,8,1,0.5,0.5,1.25,1.249999148469459,64.0,2.755010047474471,1,12.0,0.19936301004747448,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,219584397312,3474620153856,4266928373760,4.571144363999501,0.7113544370889904,1.757211222460717,15.745322716137414,15.749677793750484,22.129294115269666,23.724198195649464,12.992664605715838,12.91062692916623,20.245836345261605,22.16376930267242,6.789252887186832,6.483041883727438,12.539629328215605,14.1345334085954,0.17482386103146497,0.06577372521121472,0.5688082734418323,0.30735112197580033,32.39274507553009,33.95317396850713,24.363509181453068,0.9540417371753109,3.166763300142272,0.1467765665752692,17451,276138,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.25,1.249999148469459,128.0,2.755010047474471,1,12.0,0.10105901004747447,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,1463417831424,2230786719744,4266928373760,4.571144363999501,1.4227088741779808,0.8786056112303585,7.981454163397431,7.983661793750484,11.217550115269667,12.026022195649462,4.95109193564791,4.7497734722313,8.930526276678917,10.378309342862316,0.9394597362582698,0.7777033883522413,1.9288741248668257,2.469314334114158,0.3796754533336316,0.13701229101200418,0.8822946649788973,0.4303272686599694,20.607285115719982,22.254997968507126,12.698290106971823,0.9259621207281704,2.0145990735847574,0.5499565304621147,116302,177287,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.25,1.249999148469459,256.0,2.755010047474471,1,12.0,0.05190701004747447,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,3694204551168,0,4266928373760,4.571144363999501,2.8454177483559615,0.43930280561517926,4.099519887027439,4.1006537937504834,5.7616781152696666,6.176934195649462,2.197219653245391,2.0762804018989787,4.256374823892907,5.1907010047474476,0.3031289041381848,0.31144206028484683,0.4152560803797958,0.4152560803797958,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,15.419676777605114,16.405909968507128,10.644231853237462,0.9398854929232702,1.5074507086546087,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.25,1.249999148469459,512.0,2.755010047474471,1,12.0,0.02733101004747447,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,3694204551168,0,4266928373760,4.571144363999501,5.690835496711923,0.21965140280758963,2.158552748842443,2.1591497937504833,3.0337421152696664,3.252390195649462,1.1569195059479251,1.0932404018989788,2.2411428238929068,2.7331010047474473,0.1596088681876168,0.16398606028484683,0.21864808037979577,0.21864808037979577,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,12.962076777605112,13.481365968507127,10.447623853237461,0.9614809662377618,1.2671920498628673,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.5,1.499998296938918,16.0,2.755010047474471,1,12.0,0.7891870100474745,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,0,3694204551168,4266928373760,4.571144363999501,0.1778386092722476,8.434613867811441,62.32853403257731,62.34577379375049,87.59975811526968,93.91325419564946,72.01639438334799,71.47645897700431,105.8213215929492,116.23062874781024,52.78204328663169,52.75610900669642,78.01009332821562,84.3235894085954,-0.15543218689704963,-0.23763817730846593,0.15316405068914252,-1.0148085415454993,126.45960452066791,104.14222996850712,94.55256518145306,1.2142970681433423,12.36288044167876,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.5,1.499998296938918,24.1354255944,2.755010047474471,1,12.0,0.5241011926861406,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,12960399360,3681244151808,4266928373760,4.571144363999501,0.2682631576188691,5.59152443188305,41.392545250950576,41.403994222205114,58.17523238816161,62.36804192965073,46.23777155018852,45.96506163767684,68.25967908963085,74.72736521519829,31.902242828773513,31.81432943515105,48.58556760110755,52.77837714259667,-0.11705552944045339,-0.19816756953005688,0.22927564286371394,-0.5105449841003545,84.95634098805596,72.5970177025084,63.007352915454334,1.1702456061789508,8.30545920477058,0.017220624623821307,1030,292559,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,measured_anchor
AX1,8,1,0.5,0.5,1.5,1.499998296938918,32.0,2.755010047474471,1,12.0,0.3959710100474745,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,12960399360,3681244151808,4266928373760,4.571144363999501,0.3556772185444952,4.2173069339057205,31.273059821617377,31.281709793750487,43.95278211526967,47.12055019564946,33.786895789792716,33.57117530812066,50.0161914516349,54.677134630739815,21.845247054111304,21.692045006696425,34.36311732821561,37.530885408595395,-0.0803834348961805,-0.16036706710160709,0.3014675513455557,-0.26664042129045384,64.90611040359748,57.34952596850712,47.75986118145306,1.1317636773360598,6.345318616925875,0.017220624623821307,1030,292559,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.5,1.499998296938918,64.0,2.755010047474471,1,12.0,0.19936301004747448,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,116769423360,3577435127808,4266928373760,4.571144363999501,0.7113544370889904,2.1086534669528603,15.745322716137414,15.749677793750484,22.129294115269666,23.724198195649464,14.760915915195156,14.773844394399003,22.596970510170117,24.43245955625857,6.789252887186832,6.483041883727438,12.539629328215605,14.1345334085954,0.06252058587108777,-0.029853964073651484,0.5688082734418323,0.10991504306500086,34.66143532911624,33.95317396850713,24.363509181453068,1.020859945561085,3.3885538590373336,0.09442921152945898,9280,284309,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.5,1.499998296938918,128.0,2.755010047474471,1,12.0,0.10105901004747447,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,946448891904,2747755659264,4266928373760,4.571144363999501,1.4227088741779808,1.0543267334764301,7.981454163397431,7.983661793750484,11.217550115269667,12.026022195649462,5.605853749208474,5.46375124303723,9.600605954510076,10.81331407507977,0.9394597362582698,0.7777033883522413,1.9288741248668257,2.469314334114158,0.29764004973972635,0.10084033613445365,0.8822946649788973,0.3373476702897725,21.042289847937436,22.254997968507126,12.698290106971823,0.9455085045486958,2.0571257880747584,0.4125760716912994,75217,218372,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.5,1.499998296938918,256.0,2.755010047474471,1,12.0,0.05190701004747447,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,3694204551168,0,4266928373760,4.571144363999501,2.8454177483559615,0.5271633667382151,4.099519887027439,4.1006537937504834,5.7616781152696666,6.176934195649462,2.197219653245391,2.0762804018989787,4.256374823892907,5.1907010047474476,0.3031289041381848,0.31144206028484683,0.4152560803797958,0.4152560803797958,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,15.419676777605114,16.405909968507128,10.644231853237462,0.9398854929232702,1.5074507086546087,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
