phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
prefill,code,7,512,8,8,0.6981240981240981,0.45454545454545453,0.5036272321428571,0.49595424107142855,0.5066964285714286,0.9785949238410436
prefill,code,8,256,8,17,0.5198523698523698,0.23076923076923078,0.460113525390625,0.438629150390625,0.472320556640625,0.926950213116852
prefill,code,8,512,8,8,0.7506493506493507,0.45454545454545453,0.46180943080357145,0.45479910714285715,0.4674595424107143,0.9736116686399027
prefill,code,9,256,8,17,0.5767676767676767,0.3333333333333333,0.478240966796875,0.466644287109375,0.4898681640625,0.951209560415399
prefill,code,9,512,8,8,0.63001443001443,0.45454545454545453,0.48032924107142855,0.47021484375,0.48423549107142855,0.9713206543563964
prefill,code,10,256,8,17,0.6151515151515151,0.3333333333333333,0.41656494140625,0.40667724609375,0.427398681640625,0.9508050275427359
prefill,code,10,512,8,8,0.6808080808080809,0.45454545454545453,0.4195033482142857,0.41287667410714285,0.42442103794642855,0.9732601338837429
prefill,code,11,256,8,17,0.6275252525252525,0.3333333333333333,0.51202392578125,0.497650146484375,0.523101806640625,0.9510165765778291
prefill,code,11,512,8,8,0.7587301587301587,0.6,0.5133231026785714,0.5084751674107143,0.5177873883928571,0.9824542653912796
prefill,code,12,256,8,17,0.627020202020202,0.3333333333333333,0.48919677734375,0.4779052734375,0.49835205078125,0.95739401158311
prefill,code,12,512,8,8,0.8158730158730159,0.6,0.48863002232142855,0.4834681919642857,0.49264090401785715,0.9820096405746099
prefill,code,13,256,8,17,0.7611111111111111,0.6,0.550018310546875,0.537994384765625,0.555511474609375,0.9685406535270956
prefill,code,13,512,8,8,0.9365079365079365,0.7777777777777778,0.5440848214285714,0.5439104352678571,0.5455496651785714,0.997007771407928
prefill,code,14,256,8,17,0.5949494949494949,0.3333333333333333,0.477783203125,0.471954345703125,0.49530029296875,0.9520290235052038
prefill,code,14,512,8,8,0.7206349206349206,0.3333333333333333,0.4751674107142857,0.4724818638392857,0.48716517857142855,0.9699641935168036
prefill,code,15,256,8,17,0.7277777777777777,0.6,0.491546630859375,0.485382080078125,0.499786376953125,0.9703445734026798
